Ref	Extractor	Site name	day	month	year	time	Measurement	Latitude	Longitude	LakeType	Elevation	Climate	Watershed area	Watershed LULC	Surface area_m2	Circumference	Volume	Mean depth	Max depth	CO2	CO2_units	CO2_avg_n	CO2_uncert_val	CO2_uncert_text	CO2_method_cat	CO2_method	CO2_instrument	CH4	CH4_units	CH4_avg_text	CH4_avg_n	CH4_uncert_val	CH4_uncert_text	CH4_instrument	N2O	N2O_avg_text	N2O_uncert_val	N2O_uncert_text	N2O_n	N2O_units	N2O_instrument	F_CO2	FCO2_avg_text	F_CO2_uncert_val	F_CO2_uncert_text	F_CO2_n	F_CO2_method	F_CO2_units	FCH4_diff_avg_val	FCH4_diff_avg_text	FCH4_diff_avg_n	FCH4_diff_uncert_val	FCH4_diff_uncert_text	F_CH4_method	F_CH4_units	FCH4_ebb_avg_val	FCH4_ebb_avg_text	FCH4_ebb_avg_n	FCH4_ebb_uncert_val	FCH4_ebb_uncert_text	F_CH4_methods	FN2O_avg_val	FN2O_avg_text	FN2O_avg_n	FN2O_uncert_val	FN2O_uncert_text	FN2O_UNITS	Max depth	Mean depth	Secchi depth	Sample depth	Stratification	Residence_time	Temperature	DO_mg	pH	Conductivity	k	k600	k_units	Trophic level index	Comments							
138	Jilong Wang	Danjiangkou Reservoir	1	7	2008		8 years averages	32.74	111.57	reservoir	157	14	95000		745000000		17500000000			595	µatm			SD	indirect	alkalinity-pH-temperature method	CO2SYS															9	mean	NA	NA		Diffusive flux using the gas transfer equation	mmol/m2/d																							0.5			29				4.2		cm/h		hydroelectric reservoir 							
141	Jilong Wang	Samuel reservoir 	1	7	2000		monthly	-8.750245	-63.448053	reservoir		2			650000000																											10552.4	mean	7641.4	SD		Floating Chamber	mg/m2/d	16.3	mean		16.3	SD	Floating Chamber	mg/m2/d							9.6	mean		6.5	SD	mg/m2/d		20																				
141	Jilong Wang	Tucuru’ reservoir 	1	7	2000		monthly	-3.85	-49.61	reservoir		2			2875000000																											13737.4	mean	6170.7	SD		Floating Chamber	mg/m2/d	23.4	mean		23.4	SD	Floating Chamber	mg/m2/d							5.6	mean		4.1	SD	mg/m2/d		70																				
151	Alberto Borges	S1 dry	1	7	2014		monthly	-23.761048	-46.485653	reservoir	746	15	183		7400000		116000000																									29.9	mean	5.3	SD		Floating Chamber	mg/m2/d	0.25	mean		0.01	SD	Floating Chamber	mg/m2/d													12	5.5				0.68	20.2	9.43	7.75	145					Based on the DIC and pH reported in the paper I compute the pCO2 (=563ppm). I computed the diffusive flux with the Cole and Caraco (1998) relation and a wind of 1 m/s. The resulting flux is 3.5 mmol/m2/d. The reported flux by the authors is 1000 time higher. This gives the impression they mixed up units in the paper: mg/m2/d instead of g/m2/d. 							
151	Alberto Borges	S1 wet	1	7	2014		monthly	-23.761048	-46.485653	reservoir	746	15	183		7400000		116000000																									18.3	mean	3.2	SD		Floating Chamber	mg/m2/d	0.12	mean		0.01	SD		mg/m2/d																			29	9.3	9.38	130					Based on the DIC and pH reported in the paper I compute the pCO2 (=563ppm). I computed the diffusive flux with the Cole and Caraco (1998) relation and a wind of 1 m/s. The resulting flux is 3.5 mmol/m2/d. The reported flux by the authors is 1000 time higher. This gives the impression they mixed up units in the paper: mg/m2/d instead of g/m2/d. 							
151	Alberto Borges	S2 dry	1	7	2014		monthly	-23.72	-46.44	reservoir	746	15	183		7400000		116000000																									60.9	mean	7.8	SD		Floating Chamber	mg/m2/d	0.31	mean		0.03	SD	Floating Chamber	mg/m2/d																			24.4			217					Based on the DIC and pH reported in the paper I compute the pCO2 (=563ppm). I computed the diffusive flux with the Cole and Caraco (1998) relation and a wind of 1 m/s. The resulting flux is 3.5 mmol/m2/d. The reported flux by the authors is 1000 time higher. This gives the impression they mixed up units in the paper: mg/m2/d instead of g/m2/d. 							
151	Alberto Borges	S3 dry and wet	1	7	2014		monthly	-23.73	-46.44	reservoir	746	15	183		7400000		116000000																									3.5	mean	0.9	SD		Floating Chamber	mg/m2/d	0.045	single					mg/m2/d																											Based on the DIC and pH reported in the paper I compute the pCO2 (=563ppm). I computed the diffusive flux with the Cole and Caraco (1998) relation and a wind of 1 m/s. The resulting flux is 3.5 mmol/m2/d. The reported flux by the authors is 1000 time higher. This gives the impression they mixed up units in the paper: mg/m2/d instead of g/m2/d. 							
179	Alberto Borges	Malawi Lake	1	12	2013		annual	-12.11937	34.421778	lake		3			29500000000			264		380.42	µatm				direct	air-equilibrator device coupled with a gas analyser	"Li-Cor LI-820 infrared gas analyzer (IRGA),"															-2.21	mean	0.15	SD		Diffusive flux using the gas transfer equation	mmol/m2/d																																									
179	Alberto Borges	Malawi Lake	1	12	2013		annual	-12.23211	34.394854	lake		3			29500000000			264		369.42	µatm				direct	air-equilibrator device coupled with a gas analyser	"Li-Cor LI-820 infrared gas analyzer (IRGA),"															-2.07	mean	0.26	SD		Diffusive flux using the gas transfer equation	mmol/m2/d																																									
179	Alberto Borges	Malawi Lake	1	12	2013		annual	-12.86	34.62	lake		3			29500000000			264		376.37	µatm				direct	air-equilibrator device coupled with a gas analyser	"Li-Cor LI-820 infrared gas analyzer (IRGA),"															-2.69	mean	0.27	SD		Diffusive flux using the gas transfer equation	mmol/m2/d																																									
