site_numeric,site,slope_grades,upstream_area_grades,order_grades,distance_snapped_m
76,Borges2015_1237,0.016817433,538682.2,1,55.64954941
78,Borges2015_1230,0.00241938,6205511,3,23.83459262
79,Borges2015_1231,0.004025521,1377321.9,2,33.64175165
80,Borges2015_1377,0.004025521,1377321.9,2,21.11375675
81,Borges2015_1238,0.004027448,1996254.9,2,8.743073934
82,Borges2015_1273,2.18E-04,10698436,3,37.01384406
84,Borges2015_1283,0.01043056,657336.7,1,23.4609858
85,Borges2015_1270,0.004382612,1008061.8,2,61.42831691
86,Borges2015_1272,0.002669389,517744.1,1,40.9905213
87,Borges2015_1284,0.014831752,1675382.1,2,25.01466398
88,Borges2015_1268,0.001494254,561750.6,1,17.50774092
89,Borges2015_1269,3.60E-04,1860396.2,2,23.12900823
90,Borges2015_1285,0.014831752,1675382.1,2,5.79602463
91,Borges2015_1271,0.002525717,381698.7,1,32.0762572
92,Borges2015_1289,7.09E-04,31081582,4,80.75090042
93,Borges2015_1243,4.28E-04,10108479,3,52.71223483
94,Borges2015_1288,0.00173264,3004138.2,2,33.67835971
95,Borges2015_1274,8.47E-05,49377280,5,9.528423724
96,Borges2015_1281,1.64E-04,23726188,4,44.29948478
97,Borges2015_1277,1.47E-04,39157032,5,76.68773753
98,Borges2015_1278,0.003869078,694297.4,1,14.72956481
99,Borges2015_1275,0.001665466,21722690,4,5.91314881
100,Borges2015_1276,1.47E-04,39157032,5,58.64072101
101,Borges2015_1236,0.007798484,667524.5,1,1153.072457
102,Borges2015_1239,4.48E-04,52505852,4,46.43716552
103,Borges2015_1279,5.69E-04,15798340,4,85.94307758
104,Borges2015_1287,8.55E-04,1279407,2,504.9179053
105,Borges2015_1280,0.009333096,364255.5,1,23.55296874
106,ZBZ.19,5.76E-05,11016774656,7,62.19316611
107,ZBZ.20,0,11024877568,7,69.27503541
108,ZBZ.20,5.76E-05,11016774656,7,348.6916871
109,Borges2015_1264,0.012329346,776557.1,1,4031.157385
110,Borges2015_1240,0.001757749,2291941.8,2,8.114118333
111,Borges2015_1282,3.67E-04,4061563.8,2,56.83036054
112,Borges2015_1267,0.003232068,4798732,2,105.1704662
113,Borges2015_1232,9.06E-04,5915771.5,3,25.74720339
114,ZBZ.19,5.76E-05,11016774656,7,509.6217794
115,Borges2015_1234,0.001949116,7840057.5,2,30.44281367
116,Borges2015_1233,0.00401112,2173602.2,3,118.6127301
117,Borges2015_1244,0.047804056,306655,1,60.20740037
118,Borges2015_1245,0.005113597,534236.3,1,44.39044744
119,Borges2015_1290,2.25E-04,23885590,3,7.342032443
120,Borges2015_1235,5.16E-04,10827593,3,38.23984365
121,Borges2015_1286,0.001708044,1174916.6,2,122.8513756
122,Borges2015_1241,0.002714652,1287274.1,2,6.361340055
123,Borges2015_1242,0.008845541,78730424,4,33.62840967
124,Borges2015_1246,0.002108977,18305872,3,19.61920977
125,Borges2015_1262,0.013608198,629936.8,1,31.71205838
126,Borges2015_1247,0.008728874,1110031.9,1,12.21271244
127,Borges2015_1248,0.013608198,629936.8,1,4420.993964
128,Borges2015_1261,0.003267793,4572838.5,2,6.363779388
129,Borges2015_1101,0.011083669,4154323968,7,209.7487702
130,ZBZ.9,0.011083669,4154323968,7,215.8804907
131,Maramba,0.001838027,3726744.5,2,11.95221153
132,ZBZ.8,0.006034298,388318.7,1,141.5522535
133,ZBZ.8,0.006034298,388318.7,1,145.3850362
134,ZBZ.8,0.006034298,388318.7,1,147.6847095
135,VicFalls,0,4142510592,7,159.7838697
136,ZBZ.18,2.15E-04,10918866944,7,277.5370394
137,ZBZ.18,2.15E-04,10918866944,7,272.9366338
138,ZBZ.7,3.46E-05,4126854400,7,256.1538709
139,ZBZ.7,3.46E-05,4126854400,7,265.0495037
140,Borges2015_1265,0.001760566,61652052,5,29.01060139
141,Borges2015_1266,0.039838726,945734.6,2,28.14172183
142,Borges2015_1260,0.014238484,3189829.2,3,63.61679479
143,SH.,2.99E-05,1290833664,6,90.34579191
144,Borges2015_1263,0.004237027,5610908.5,2,20.11251793
146,Borges2015_1259,0.005001917,2795217,2,6.860939467
147,ZBZ.6,2.59E-04,2690190592,7,210.2913886
148,ZBZ.6,2.59E-04,2690190592,7,221.0363768
149,ZBZ.6,2.59E-04,2690190592,7,222.5713845
150,ZBZ.17,0,9621664768,7,527.5273471
151,Borges2015_1124,0,9621664768,7,525.3035175
152,ZBZ.17,0,9621664768,7,523.9499701
153,SH.,0,1285577856,6,139.9511208
154,Borges2015_1249,0.033399926,339833.8,1,49.34326309
156,Borges2015_1258,0.006722883,289912.1,1,46.00694829
157,Borges2015_1252,4.88E-04,26893820,4,91.97496472
158,Borges2015_1250,0.008154394,160666304,5,128.0960646
159,Borges2015_1254,0.007826214,97908160,5,139.4257759
160,Borges2015_1251,0.001880779,2123662.8,2,23.38591497
161,Borges2015_1392,0.001880779,2123662.8,2,8.102559578
163,Borges2015_1257,0.001365656,59388176,4,112.882823
164,ZBZ.16,2.90E-04,9483916288,7,259.818398
165,MAZ.,9.17E-04,271946848,5,163.4879245
166,Siavonga,0.003754556,5421911552,7,55.72129761
167,ZBZ.10,0.003754556,5421911552,7,60.33866356
168,Borges2015_1256,1.29E-04,330713152,6,237.4143465
170,Borges2015_1253,7.01E-04,94056472,4,40.77404275
172,Borges2015_1404,0.004842248,42569272,4,113.1157885
173,ZBZ.5,3.07E-05,2395351040,7,198.4312871
174,ZBZ.5,3.07E-05,2395351040,7,176.6052602
175,Borges2015_1255,0,448290944,6,91.44251787
176,ZBZ.15,3.69E-04,8846720000,7,330.5901138
177,ZBZ.15,3.69E-04,8846720000,7,319.4705608
178,ZBZ.5,1.11E-04,2320009472,7,516.3304425
179,ZBZ.11,2.42E-04,5451750400,7,188.4643286
180,Borges2015_1089,2.42E-04,5451750400,7,216.9546321
181,ZBZ.11,2.42E-04,5451750400,7,111.5591826
182,ZBZ.11,2.45E-04,5452982272,7,264.8508939
183,Chirundu,2.45E-04,5452982272,7,248.1939655
184,Borges2015_1190,3.89E-04,1254460928,6,60.75712627
185,KAF.10,3.89E-04,1254460928,6,45.18982123
186,Borges2015_1092,3.89E-04,1254460928,6,40.74201526
187,KafueAtConfluence,3.89E-04,1254460928,6,3.736016302
188,Little Chongwe,3.89E-04,1254460928,6,3.256237213
189,Borges2015_1188,3.89E-04,1254460928,6,41.85397447
190,KAF.10,3.89E-04,1254460928,6,36.29421996
191,KAF.10,3.89E-04,1254460928,6,73.16047176
192,Lower Zambezi,3.51E-04,6712867840,7,236.9587981
193,Kafue Bridge,0.001202834,1224030336,6,18.56172351
194,KAF.9,0.001202834,1224030336,6,18.56172705
195,Borges2015_1159,0.001202834,1224030336,6,19.67367051
197,KAF.6,0.003219127,857191232,6,86.0513013
198,KAF.6,0.003219127,857191232,6,63.69069769
199,downstream ITT,0.003219127,857191232,6,61.37753404
200,KAF.6,0.003219127,857191232,6,57.52225059
201,KAF.8,0,1201425920,6,89.66839796
202,KAF.8,0,1201425920,6,14.50050912
203,KAF.8,0,1201425920,6,30.05931277
204,Mazabuka,2.03E-04,730637.9,1,19.33070614
205,ZBZ.12,1.51E-04,6742325248,7,558.8970985
