site_numeric,site,longitude_reported,latitude_reported,longitude_snapped,latitude_snapped,distance_snapped,catchment_area_reported,river_width,catchment_area_snapped,catchment_area_h90m,order_orig_coords,order_snapped_coords,slope_channel,elevation_m
46,Donato,-53.676936,-28.423005,-53.67625,-28.42541667,276.7382884,1.1,2,10.8390379,0.609994411,2,4,0,396
47,Low urban (14),-48.566659,-27.781926,-48.56625,-27.78375,207.0037327,NA,1.5,3.690653086,3.613406897,3,3,0,1
51,Bico - R2P6,-44.169184,-23.145808,-44.16791667,-23.14375,263.2738077,NA,1.5,1.779241562,0.18197985,NA,2,0.074802,18
52,Bico - R2P5,-44.168629,-23.14513,-44.16791667,-23.14375,170.0467927,NA,2,1.779241562,1.512067556,2,2,0.074802,18
53,Bico - R2P4,-44.168408,-23.143699,-44.16791667,-23.14375,50.6126476,NA,2,1.779241562,0.01006607,NA,2,0.074802,18
56,Abrao- R1P5,-44.17029,-23.141984,-44.16791667,-23.14291667,264.1940037,NA,1.5,1.488505483,0.536460519,2,2,0.006284,8
57,Abrao- R1P4,-44.169193,-23.141765,-44.16791667,-23.14375,256.7023648,NA,1.5,1.779241562,0.109843031,NA,2,0.074802,18
58,Abrao- R1P3,-44.168936,-23.141657,-44.16791667,-23.14375,255.2881962,NA,1.5,1.779241562,0.720290363,2,2,0.074802,18
60,Abrao- R1P2,-44.168292,-23.140956,-44.16708333,-23.14208333,176.2269027,NA,1.5,1.540265441,0.750235677,2,2,0.038489,6
61,Abrao- R1P1,-44.16747,-23.140628,-44.16708333,-23.14208333,166.7718406,NA,1.5,1.540265441,0.758776665,2,2,0.038489,6
69,FOR3,-47.898179,-22.193672,-47.89708333,-22.19208333,209.8325429,2.82,2,3.053820372,2.78222084,3,3,0.010088,712
73,SUG1,-47.865267,-21.947192,-47.86291667,-21.94625,264.3645215,0.63,1.5,2.71024251,0.686160624,1,3,0.053146,823
124,Borges2015_1246,47.47943,-18.134824,47.48208333,-18.13458333,281.9716511,NA,2,2213.748535,2211.640137,7,7,0,826
162,Atika Creek (AC),145.684167,-16.817628,145.68625,-16.81875,254.6892225,1.6,1.5,1.376388192,0.030338833,NA,2,0.001111,26
232,Tropical preserved forest,-39.071332,-14.463493,-39.06875,-14.46375,279.7838824,0.3608,2,13.22744179,0.033067275,NA,3,0,88
325,Boa Vista-NS1,-62.36344,-10.751855,-62.36125,-10.75208333,240.8546726,NA,2,0.586870253,0.008501404,NA,1,0.027097,257
331,"Juruena2, Brazil",-58.467698,-10.478047,-58.46708333,-10.47958333,183.7829867,0.0095,0.5,0.760795534,0.011751521,NA,3,0,263
332,Juruena - UW,-58.468216,-10.477439,-58.46708333,-10.47958333,268.9849675,0.0194,1.5,0.760795534,0.180811986,1,3,0,263
406,Borges2015_1409,39.40647,-4.27128,39.40875,-4.270416667,270.7356433,NA,2,3.595899343,2.145031452,2,3,0.020033,214
492,Congo River basin,18.03562,-3.37062,18.03541667,-3.372916667,256.6603387,NA,2,128.9163666,0.01033827,NA,5,0,305
556,IGP-S1,-47.280605,-3.120336,-47.28041667,-3.117916667,270.1313318,NA,2,26.9789238,0.055938069,NA,5,0,107
607,Barro Branco-Reserva Ducke 1,-59.973213,-2.929197,-59.97458333,-2.93125,274.6618731,NA,2,1.633354425,0.076956704,1,2,0,68
609,Tarqui TA22,-79.028224,-2.92088,-79.02708333,-2.919583333,192.1378246,NA,2,466.4568176,17.42108727,4,6,0,2552
635,Tomebamba TO34,-79.044,-2.88567,-79.04375,-2.887083333,159.7678116,NA,2,312.5865479,4.964141846,3,5,0,2616
637,Tomebamba TO32,-79.0536,-2.88393,-79.05291667,-2.88625,269.203616,NA,1,311.7202454,5.344032288,3,5,0.107302,2655
680,Cabea Branca-Reser. Campinas 1,-60.021413,-2.585497,-60.02375,-2.58625,273.0724264,NA,2,1.014623284,0.892284811,2,2,0.072084,70
708,Borges2015_800,28.794972,-2.362404,28.79541667,-2.36125,137.6544906,NA,2,31.44421577,0.0143677,NA,5,0.045566,1568
717,CP1-S2,-47.339274,-2.208405,-47.33875,-2.210416667,231.3992096,0.2,0.5,1.201573491,0.017817765,NA,2,0,82
773,KISHEKE,29.01452,-1.71146,29.01625,-1.710416667,224.8206309,5.8,1.8,6.215049744,0.039874438,NA,3,0.001542,1475
785,Borges2015_2038,37.78531,-1.61461,37.78708333,-1.614583333,197.3505145,NA,2,7142.399414,0.025786944,NA,8,0,938
789,Borges2015_848,29.07211,-1.57441,29.07375,-1.575416667,214.1546918,NA,2,1.954944372,1.518226266,NA,NA,0.010849,1500
873,KAK,35.461326,-0.840283,35.46125,-0.84125,107.9778264,NA,2,6.928548813,6.8940382,3,3,0.028005,1951
874,KIP_M,35.31704,-0.828122,35.31625,-0.827083333,145.2622636,NA,1.5,28.84167099,28.65053749,4,4,0.026668,1894
889,MUM,35.49334,-0.780675,35.49291667,-0.782916667,253.9511415,NA,1.5,42.3493042,0.927118301,1,4,0,2050
895,MSH,35.463417,-0.759466,35.46291667,-0.762083333,296.6350732,NA,2,54.45596695,53.4040947,4,4,0,2064
896,NYA,35.51202,-0.759254,35.51208333,-0.76125,222.3055082,NA,2,30.63063049,0.013600137,NA,4,0.051067,2108
898,BON_II,35.459378,-0.754341,35.46125,-0.755416667,240.3272697,NA,1.5,52.41238022,0.027660089,NA,4,0,2061
902,SAR,35.472193,-0.745046,35.47041667,-0.74625,238.8689508,NA,2,44.54588318,0.021640303,NA,4,0,2090
907,ML_II,35.436421,-0.727783,35.43458333,-0.72875,231.1471482,NA,1.5,154.8290253,0.010478928,NA,5,0,2068
912,Chep_II,35.4234,-0.7141,35.42125,-0.712916667,273.176782,NA,2,3.566864014,2.784924746,2,3,0.014003,2066
918,KN_I,35.419551,-0.707497,35.41875,-0.709583333,248.7757675,NA,2,366.9884644,1.530816317,2,5,0,2039
938,Ole1,35.676757,-0.590317,35.67458333,-0.59125,263.307977,NA,2,8.202152252,0.452521443,2,3,0,2467
999,Kinaini river-Aberdares,36.8168,-0.38739,36.81875,-0.387916667,224.846185,NA,2,24.34386635,24.1952343,4,4,0.083216,2277
1007,A7,-78.12539,-0.37783,-78.12458333,-0.380416667,301.6229708,24.9,1.5,196.6401367,0.10399358,1,6,0,2952
1020,Satima springs-Point D,36.642253,-0.338781,36.64125,-0.340416667,213.5878197,NA,1,1.608977199,0.424376965,1,2,0.061641,3430
1021,Satima springs-Point B,36.6465,-0.3385,36.64458333,-0.337083333,265.3149582,NA,1,1.254069209,0.067122579,NA,2,0.064722,3486
1022,Satima springs-Point C,36.645,-0.3382,36.64291667,-0.33875,239.8573743,NA,1,1.479264379,0.134759516,NA,2,0.097857,3457
1023,Satima springs-stream 1 A,36.6476,-0.3381,36.64541667,-0.337916667,243.8986838,NA,0.5,0.116999768,0.073919721,1,1,0.204958,3513
1024,"Cayambe-Coca, Ecuador",-78.2006,-0.3286,-78.20208333,-0.330416667,261.0788048,NA,2,1.153480411,0.733475268,2,2,0.078075,4070
1025,cay,-78.200601,-0.328592,-78.20208333,-0.330416667,261.6990275,0.430427,1.5,1.153480411,0.733475268,2,2,0.078075,4070
1026,Gavilan,-78.200471,-0.328202,-78.20125,-0.329583333,176.5354024,0.023,0.5,1.033997178,0.989150167,2,2,0.046382,4079
1044,Borges2015_1419,38.187645,-0.164722,38.18625,-0.162916667,253.9753032,NA,2,18683.91797,0.018056728,NA,8,0,400
1045,Nithi tributary-Mt Kenya,37.4385,-0.1543,37.43875,-0.152916667,156.4864872,NA,2,6.067073345,0.008669955,NA,2,0.035803,2964
1112,Borges2019_109,25.180483,0.500968,25.18208333,0.502916667,280.6967262,NA,1,0.28148374,0.013874129,NA,1,0.056415,389
1282,Congo River basin,19.159323,1.637294,19.15791667,1.635416667,261.0801896,NA,2,0.328593552,0.012320022,NA,1,0,320
1316,Congo River basin,20.694432,1.967991,20.69375,1.970416667,280.4816806,NA,1.5,66.61486816,0.00858127,NA,4,0,338
1370,Outlet_Mengong,11.83375,3.163944,11.83625,3.16375,278.7124806,0.6,1.5,3.063203812,0.017022178,NA,3,0,689
1391,Kl (tributary of Mbar),17.15847,3.90075,17.15708333,3.899583333,201.4562811,NA,2,23.13053322,0.030344559,NA,5,0,439
1538,Upper Arboleda,-84.015669,10.424323,-84.01458333,10.42625,245.2418305,NA,2,0.135350317,0.012074676,NA,1,0.0964,74
1539,Upper Taconazo,-84.018056,10.427778,-84.01541667,10.42791667,289.3685932,NA,2,0.12591067,0.020586651,NA,NA,0,45
1554,Mekong_W4Ê,104.9256,11.577577,104.9279167,11.57875,284.3920068,NA,2,41535.85547,0.008881229,NA,2,0,7
1555,Mekong_W3Ê,104.924469,11.578761,104.9270833,11.57958333,299.4391755,NA,1,39705.21484,0.04500217,NA,NA,0,6
1639,QG,-65.789297,18.281673,-65.78791667,18.28291667,201.1321677,0.13,1.5,0.140386209,0.033460323,NA,1,0.143829,639
1640,Q3,-65.747451,18.317424,-65.74708333,18.31708333,54.29388676,0.28,2,0.413837433,0.413837433,1,1,0.143848,225
1654,Houay Pano - S57,102.169105,19.852427,102.1695833,19.85041667,229.3251287,0.64,1.2,1.226314783,0.010661457,NA,2,0.017457,423
1655,Houay Pano - S46,102.168745,19.853926,102.1695833,19.85291667,142.5800806,NA,0.8,0.585245848,0.048552155,NA,1,0.131984,472
1656,Houay Pano - S36,102.169828,19.855721,102.1695833,19.85458333,129.2093586,NA,0.8,0.556406438,0.517629623,1,1,0.225022,515
