group_idx_manual,lake_area_km2,vol_total_Mm3,depth_avg_m,method
252,0.35,,,ref 161
325,516,3958,11.5,ref 39
395,4.47,,,manual delineation
801,1504,,,Bonnet et al. 2008
802,69.6,4800,,ref 213
423,250,,,
424,14.8,,,manual delineation
426,8.05,,,manual delineation
234,0.0235,,,
294,450,2650,,
429,0.01,,,manual delineation
430,0.04,,,manual delineation
431,0.06,,,ref 7
432,0.0067,,,ref 1000
245,0.124,,,ref 1000
279,0.03,0.26,,ref 304
258,3.9,32,4.6,ref 1120
244,0.1187,,,ref 1000
259,4.4,120,54,ref 1000
446,0.25,,4.2,ref 1000
278,0.036,0.053,,ref 125
256,1.93,32,14,ref 1000
249,0.163,,,
450,3,,18,ref 1191
39,0.046,,,manual delineation
451,0.18,,,ref 1000
221,0.004,,,ref 1000
303,85,2730,92.7,ref 1109
292,1.72,880,41,ref 1064
261,5.2,,,ref 286
295,51.54,3245,,ref 1107
289,15.05,510,,ref 1092
298,80.5,4950,60,ref 1041
286,5.7,200,21,ref 1100
293,38.4,1210,9,ref 1154
266,31.25,,2.3,ref 1191
302,133.65,12670,87,ref 1152
453,3.28,,,manual delineation
299,95.6,5160,,ref 1152
255,1,,9.8,ref 1191
280,0.34,1.13,24.7,manual delineation
456,1.2,,,ref 1191
288,11.4,320,4,ref 1154
273,2579,,5.5,ref 1008
264,15.3,,,
138,0.049,,3,ref 1175
470,0.16,,,ref 1132
37,580,17800,,ref 274
297,7.13,4580,,ref 1019
495,0.5,,18.9,ref 1191
277,0.82,0.042,,manual delineation
240,0.056,,,ref 1141
508,0.059,,,manual delineation
509,0.0064,,,manual delineation
1001,0.01,,,ref/manual delineation
1002,0.01,,,ref/manual delineation
1003,0.154,,,ref/manual delineation
1004,0.0045,,,ref/manual delineation
1005,0.0009,,,ref/manual delineation
1006,0.015,,,ref/manual delineation
1007,35000,,,ref/manual delineation
1008,0.06,,,ref/manual delineation
1009,40000,,,ref/manual delineation
1010,35000,,,ref/manual delineation
1011,0.0115,,,ref/manual delineation
1012,35000,,,ref/manual delineation
1013,35000,,,ref/manual delineation
1014,35000,,,ref/manual delineation
1015,35000,,,ref/manual delineation
1016,35000,,,ref/manual delineation
1017,35000,,,ref/manual delineation
1018,35000,,,ref/manual delineation
1019,35000,,,ref/manual delineation
1020,35000,,,ref/manual delineation
1021,35000,,,ref/manual delineation
1022,0.095,,,ref/manual delineation
1023,0.095,,,ref/manual delineation
1024,35000,,,ref/manual delineation
1025,35000,,,ref/manual delineation
1026,35000,,,ref/manual delineation
1027,35000,,,ref/manual delineation
1028,35000,,,ref/manual delineation
1029,35000,,,ref/manual delineation
1030,35000,,,ref/manual delineation
1031,35000,,,ref/manual delineation
1032,40000,,,ref/manual delineation
1033,35000,,,ref/manual delineation
1034,35000,,,ref/manual delineation
1035,35000,,,ref/manual delineation
1036,195,,,ref/manual delineation
1037,35000,,,ref/manual delineation
1038,35000,,,ref/manual delineation
1039,35000,,,ref/manual delineation
1040,11.1,,,ref/manual delineation
1041,6600,,,ref/manual delineation
1042,1850,,,ref/manual delineation
1043,1080,,,ref/manual delineation
1044,15.6,,,ref/manual delineation
1045,1100,,,ref/manual delineation
1046,300000,,,ref/manual delineation
1047,0.002,,,ref/manual delineation
1048,300000,,,ref/manual delineation
1049,50,,,ref/manual delineation
1050,23,,,ref/manual delineation
1051,50,,,ref/manual delineation
1052,50,,,ref/manual delineation
1053,50,,,ref/manual delineation
1054,50,,,ref/manual delineation
1055,50,,,ref/manual delineation
1056,23,,,ref/manual delineation
1057,50,,,ref/manual delineation
1058,50,,,ref/manual delineation
1059,50,,,ref/manual delineation
1060,23,,,ref/manual delineation
1061,50,,,ref/manual delineation
1062,50,,,ref/manual delineation
1063,50,,,ref/manual delineation
1064,50,,,ref/manual delineation
1065,50,,,ref/manual delineation
1066,50,,,ref/manual delineation
1067,50,,,ref/manual delineation
1068,50,,,ref/manual delineation
1069,50,,,ref/manual delineation
1070,300000,,,ref/manual delineation
1071,50,,,ref/manual delineation
1072,50,,,ref/manual delineation
1073,50,,,ref/manual delineation
1074,147,,,ref/manual delineation
1075,50,,,ref/manual delineation
1076,50,,,ref/manual delineation
1077,50,,,ref/manual delineation
1078,50,,,ref/manual delineation
1079,50,,,ref/manual delineation
1080,50,,,ref/manual delineation
1081,2.5,,,ref/manual delineation
1082,50,,,ref/manual delineation
1083,50,,,ref/manual delineation
1084,50,,,ref/manual delineation
1085,50,,,ref/manual delineation
1086,50,,,ref/manual delineation
1087,50,,,ref/manual delineation
1088,50,,,ref/manual delineation
1089,50,,,ref/manual delineation
1090,50,,,ref/manual delineation
1091,50,,,ref/manual delineation
1092,50,,,ref/manual delineation
1093,50,,,ref/manual delineation
1094,50,,,ref/manual delineation
1095,50,,,ref/manual delineation
1096,50,,,ref/manual delineation
1097,300000,,,ref/manual delineation
1098,130,,,ref/manual delineation
1099,300000,,,ref/manual delineation
1100,0.05,,,ref/manual delineation
1101,50,,,ref/manual delineation
1102,50,,,ref/manual delineation
1103,300000,,,ref/manual delineation
1104,50,,,ref/manual delineation
1105,50,,,ref/manual delineation
1106,50,,,ref/manual delineation
1107,50,,,ref/manual delineation
1108,50,,,ref/manual delineation
1109,50,,,ref/manual delineation
1110,50,,,ref/manual delineation
1111,50,,,ref/manual delineation
1112,50,,,ref/manual delineation
1113,1500,,,ref/manual delineation
1114,50,,,ref/manual delineation
1115,200,,,ref/manual delineation
1116,1685,,,ref/manual delineation
1117,1295,,,ref/manual delineation
1118,0.018,,,ref/manual delineation
1119,0.08,,,ref/manual delineation
1120,0.055,,,ref/manual delineation
1121,116,,,ref/manual delineation
1122,100000,,,ref/manual delineation
1123,0.065,,,ref/manual delineation
1124,0.9,,,ref/manual delineation
1125,28,,,ref/manual delineation
1126,0.05,,,ref/manual delineation
1127,8100,,,ref/manual delineation
1128,0.02,,,ref/manual delineation
1129,20000,,,ref/manual delineation
1130,0.07,,,ref/manual delineation
1131,0.9,,,ref/manual delineation
1132,164,,,ref/manual delineation
1133,0.0008,,,ref/manual delineation
1134,1.16,,,ref/manual delineation
1135,12,,,ref/manual delineation
1136,0.03,,,ref/manual delineation
1137,0.009,,,ref/manual delineation
1138,0.005,,,ref/manual delineation
1139,0.0006,,,ref/manual delineation
1140,0.0003,,,ref/manual delineation
1141,0.2,,,ref/manual delineation
1142,0.05,,,ref/manual delineation
1143,0.06,,,ref/manual delineation
1144,0.13,,,ref/manual delineation
1145,0.16,,,ref/manual delineation
1146,0.13,,,ref/manual delineation
1147,0.000001,,,ref/manual delineation
1148,0.05,,,ref/manual delineation
1149,22,,,ref/manual delineation
1150,0.00002,,,ref/manual delineation
1151,0.085,,,ref/manual delineation
1152,0.0045,,,ref/manual delineation
1153,0.00055,,,ref/manual delineation
1154,0.0009,,,ref/manual delineation
1155,0.0004,,,ref/manual delineation
1156,0.022,,,ref/manual delineation
1157,0.0006,,,ref/manual delineation
1158,0.0065,,,ref/manual delineation
1159,0.0004,,,ref/manual delineation
1160,0.0025,,,ref/manual delineation
1161,0.0037,,,ref/manual delineation
1162,0.00075,,,ref/manual delineation
1163,0.003,,,ref/manual delineation
1164,0.0003,,,ref/manual delineation
1165,287,,,ref/manual delineation
