LakeIndex,Ref,Site,day,month,year,time,measurement_frequency,reported_frequency,Latitude,Longitude,LakeType,LakeArea_km2,Climate,Temp_C,DO_mgL,pH,Cond_uScm,CO2_uM,DirectIndirect_CO2,CH4_uM,N2O_uM,FluxMethod,F_CO2_mmol_m2_d,F_CH4_diff_mmol_m2_d,F_CH4_eb_mmol_m2_d,F_N2O_mmol_m2_d,k600_md,Wind_ms
26,138,"Danjiangkou Reservoir",1,7,2008,NaT,seasonal,annual,32.74,111.57,reservoir,286.45,4,29,NaN,NaN,NaN,18.2450373233681,indirect,NaN,NaN,modelled-empirical,9,NaN,NaN,NaN,0.804841659279637,1.858
57,141,"Samuel reservoir",1,7,2000,NaT,single,single,-8.750245,-63.448053,reservoir,54.07,1,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,measured-chamber,878.561318791108,1.35708933477645,NaN,0.685224839400428,NaN,0.967
4,141,"Tucuru reservoir",1,7,2000,NaT,single,single,-3.85,-49.61,reservoir,2349.17,1,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,measured-chamber,1143.73490966614,1.94821413704105,NaN,0.39971448965025,NaN,1.583
64,151,"S1 dry",1,7,2014,NaT,seasonal,seasonal,-23.761048,-46.485653,reservoir,99.72,5,20.2,9.43,7.75,145,NaN,<undefined>,NaN,NaN,measured-chamber,2.48938473066356,0.0208142536008659,NaN,NaN,NaN,2.367
64,151,"S1 wet",1,7,2014,NaT,seasonal,seasonal,-23.761048,-46.485653,reservoir,99.72,5,29,9.3,9.38,130,NaN,<undefined>,NaN,NaN,measured-chamber,1.52360336358338,0.00999084172841562,NaN,NaN,NaN,2.367
64,151,"S2 dry",1,7,2014,NaT,seasonal,seasonal,-23.72,-46.44,reservoir,99.72,5,24.4,NaN,NaN,217,NaN,<undefined>,NaN,NaN,measured-chamber,5.07035217717093,0.0258096744650737,NaN,NaN,NaN,2.367
64,151,"S3 dry and wet",1,7,2014,NaT,seasonal,seasonal,-23.73,-46.44,reservoir,99.72,5,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,measured-chamber,0.291399550412122,0.00374656564815586,NaN,NaN,NaN,2.367
2,179,"Malawi Lake",1,12,2013,NaT,monthly,annual,-12.11937,34.421778,lake,29544,2,NaN,NaN,NaN,NaN,15.8231720458928,direct,NaN,NaN,modelled-empirical,-2.21,NaN,NaN,NaN,NaN,2
2,179,"Malawi Lake",1,12,2013,NaT,monthly,annual,-12.23211,34.394854,lake,29544,2,NaN,NaN,NaN,NaN,15.3656385500072,direct,NaN,NaN,modelled-empirical,-2.07,NaN,NaN,NaN,NaN,2
2,179,"Malawi Lake",1,12,2013,NaT,monthly,annual,-12.86,34.62,lake,29544,2,NaN,NaN,NaN,NaN,15.6547165314986,direct,NaN,NaN,modelled-empirical,-2.69,NaN,NaN,NaN,NaN,2
