Lake_idx	Ref	Site name	day	month	year	time	measurement_frequency	reported_frequency	Latitude	Longitude	LakeType	Climate	Elevation	Surface area_m2	Volume	Mean depth	Max depth	CO2	CO2_units	CO2_method_cat	CH4	CH4_units	N2O	N2O_units	F_method_cat	F_CO2	F_CO2_units	FCH4_diff_avg_val	F_CH4_units	FCH4_ebb_avg_val	FN2O_avg_val	FN2O_UNITS	Secchi depth	Sample depth	Temperature	DO	DO_units	pH	Conductivity	k	k600	k_units	Comments							
26	138	Danjiangkou Reservoir	1	7	2008		seasonal	annual	32.74	111.57	reservoir	14	157	745000000	17500000000			595	µatm	indirect					modelled-empirical	9	mmol/m2/d							0.5	29					4.2		cm/h	hydroelectric reservoir 							
57	141	Samuel reservoir 	1	7	2000		single	single	-8.750245	-63.448053	reservoir	2		650000000		20									measured-chamber	10552.4	mg/m2/d	16.3	mg/m2/d		9.6	mg/m2/d																		
4	141	Tucuru’ reservoir 	1	7	2000		single	single	-3.85	-49.61	reservoir	2		2875000000		70									measured-chamber	13737.4	mg/m2/d	23.4	mg/m2/d		5.6	mg/m2/d																		
64	151	S1 dry	1	7	2014		seasonal	seasonal	-23.761048	-46.485653	reservoir	15	746	7400000	116000000	5.5	12								measured-chamber	29.9	mg/m2/d	0.25	mg/m2/d						20.2	9.43	mg/L	7.75	145				Based on the DIC and pH reported in the paper I compute the pCO2 (=563ppm). I computed the diffusive flux with the Cole and Caraco (1998) relation and a wind of 1 m/s. The resulting flux is 3.5 mmol/m2/d. The reported flux by the authors is 1000 time higher. This gives the impression they mixed up units in the paper: mg/m2/d instead of g/m2/d. 							
64	151	S1 wet	1	7	2014		seasonal	seasonal	-23.761048	-46.485653	reservoir	15	746	7400000	116000000										measured-chamber	18.3	mg/m2/d	0.12	mg/m2/d						29	9.3	mg/L	9.38	130				Based on the DIC and pH reported in the paper I compute the pCO2 (=563ppm). I computed the diffusive flux with the Cole and Caraco (1998) relation and a wind of 1 m/s. The resulting flux is 3.5 mmol/m2/d. The reported flux by the authors is 1000 time higher. This gives the impression they mixed up units in the paper: mg/m2/d instead of g/m2/d. 							
64	151	S2 dry	1	7	2014		seasonal	seasonal	-23.72	-46.44	reservoir	15	746	7400000	116000000										measured-chamber	60.9	mg/m2/d	0.31	mg/m2/d						24.4				217				Based on the DIC and pH reported in the paper I compute the pCO2 (=563ppm). I computed the diffusive flux with the Cole and Caraco (1998) relation and a wind of 1 m/s. The resulting flux is 3.5 mmol/m2/d. The reported flux by the authors is 1000 time higher. This gives the impression they mixed up units in the paper: mg/m2/d instead of g/m2/d. 							
64	151	S3 dry and wet	1	7	2014		seasonal	seasonal	-23.73	-46.44	reservoir	15	746	7400000	116000000										measured-chamber	3.5	mg/m2/d	0.045	mg/m2/d														Based on the DIC and pH reported in the paper I compute the pCO2 (=563ppm). I computed the diffusive flux with the Cole and Caraco (1998) relation and a wind of 1 m/s. The resulting flux is 3.5 mmol/m2/d. The reported flux by the authors is 1000 time higher. This gives the impression they mixed up units in the paper: mg/m2/d instead of g/m2/d. 							
2	179	Malawi Lake	1	12	2013		monthly	annual	-12.11937	34.421778	lake	3		29500000000		264		380.42	µatm	direct					modelled-empirical	-2.21	mmol/m2/d																							
2	179	Malawi Lake	1	12	2013		monthly	annual	-12.23211	34.394854	lake	3		29500000000		264		369.42	µatm	direct					modelled-empirical	-2.07	mmol/m2/d																							
2	179	Malawi Lake	1	12	2013		monthly	annual	-12.86	34.62	lake	3		29500000000		264		376.37	µatm	direct					modelled-empirical	-2.69	mmol/m2/d																							
2	179	Malawi Lake	1	12	2013		monthly	annual	-13.61	34.77	lake	3		29500000000		264		392.25	µatm	direct					modelled-empirical	-1.79	mmol/m2/d																							
2	179	Malawi Lake	1	12	2013		monthly	annual	-14.157517	35.112017	lake	3		29500000000		264		429.79	µatm	direct					modelled-empirical	-2.25	mmol/m2/d																							
106	199	 Dalongdong Reservoir	1	7	2017		monthly	annual	23.595059	108.581425	reservoir	14		8790000	151000000	11		1277.2	ppmv	indirect					modelled-empirical	49.1	mmol/m2/d							0.1		9.93	mg/L	8.3					This study has only one sampling site with continueous measuring							
6	267	Lake Taihu	1	7	2008		seasonal	annual	31.21	120.3	lake	14		2400000000				778	µatm	indirect					modelled-empirical	18.2	mmol/m2/d								17.9			8.18					 This is the annual average from multiple points throughout the lake							
55	5	Petit Saut Reservoir	1	12	2003	12:00:00 PM	single	single	5.062728	-53.046628	reservoir	1						2986.622374	µatm	direct	67.22481595	µatm												0																
55	5	Petit Saut Reservoir	1	12	2003	12:16:00 PM	single	single	5.062728	-53.046628	reservoir	1						2949.250314	µatm	direct	181.0244209	µatm												0.5																
55	5	Petit Saut Reservoir	1	12	2003	12:32:00 PM	single	single	5.062728	-53.046628	reservoir	1						3264.219339	µatm	direct	193.8184593	µatm												1																
55	5	Petit Saut Reservoir	1	12	2003	12:00:00 PM	single	single	5.062728	-53.046628	reservoir	1						1929.767463	µatm	direct	168.2303825	µatm												0																
55	5	Petit Saut Reservoir	1	12	2003	12:02:00 PM	single	single	5.062728	-53.046628	reservoir	1						2434.795295	µatm	direct	119.0743401	µatm												0																
55	5	Petit Saut Reservoir	1	12	2003	12:03:00 PM	single	single	5.062728	-53.046628	reservoir	1						2385.807596	µatm	direct	170.9238642	µatm												0																
55	5	Petit Saut Reservoir	1	12	2003	12:06:00 PM	single	single	5.062728	-53.046628	reservoir	1						2387.491022	µatm	direct	223.1100736	µatm												0																
55	5	Petit Saut Reservoir	1	12	2003	12:08:00 PM	single	single	5.062728	-53.046628	reservoir	1						2389.174448	µatm	direct	224.7934997	µatm												0																
55	5	Petit Saut Reservoir	1	12	2003	12:09:00 PM	single	single	5.062728	-53.046628	reservoir	1						2491.19007	µatm	direct	226.4769258	µatm												0.5																
