Refs,Site,LakeIndex,Latitude,Longitude,LakeType,LakeArea_km2,Climate,k600_md,MeasFreq,ReportedFreq,DirectIndirect_CO2,FluxMethod,CO2_uM,n_CO2,F_CO2_mmol_m2_d,n_FCO2,F_CO2_measmod_mmol_m2_d,CH4_uM,n_CH4,F_CH4_diff_mmol_m2_d,n_FCH4diff,F_CH4_measmod_mmol_m2_d,F_CH4_eb_mmol_m2_d,n_FCH4eb,N2O_uM,n_N2O,F_N2O_mmol_m2_d,n_FN2O,F_N2O_measmod_mmol_m2_d,Temp_C,DO_mgL,pH,Cond_uScm
292,Victoria,0,-1.077,32.839,lake,67166.22,1,1.611981365,seasonal,annual,direct,modelled,10.52202978,1,-3.2,1,-3.2,0.054,1,0.041162516,1,0.041162516,,0,0.0078,1,0.000702098,1,0.000702098,25.6,,,
292,Tanganyika,1,-6.484,29.485,lake,32826.65,2,1.476942777,seasonal,annual,direct,modelled,14.55468273,1,0.8,1,0.8,0.019,1,0.013282018,1,0.013282018,,0,0.0054,1,-0.000806254,1,-0.000806254,27.1,,,
179,Malawi Lake,2,-12.9957994,34.6637298,lake,29544,2,1.407060373,monthly,annual,direct,modelled,16.20708424,5,-2.202,5,-2.202,,0,,0,,,0,,0,,0,,,,,
104; 128,Balbina; Balbina reservoir in Uatuma River,3,-1.8641985,-59.509253,reservoir,2304.63,1,0.758691209,seasonal,seasonal,direct,measured,247.5964585,2,195.1892432,2,195.1892432,9.3,1,2.1,1,2.1,,0,,0,,0,,31.5,,,
141; 53; 65; 74,Tucuru Hydroelectric Reservoir; Tucuru Reservoir; Tucuru Reservoir - U1; Tucuru Reservoir - U10; Tucuru Reservoir - U11; Tucuru Reservoir - U2; Tucuru Reservoir - U3; Tucuru Reservoir - U4; Tucuru Reservoir - U5; Tucuru Reservoir - U6; Tucuru Reservoir - U7; Tucuru Reservoir - U8; Tucuru Reservoir - U9; Tucuru reservoir,4,-4.178931885,-49.61015927,reservoir,2349.17,1,1.136802651,seasonal,seasonal,direct,measured,261.035,2,325.1502529,64,325.1502529,0.3,2,0.881654441,48,0.881654441,,0,,0,0.39971449,1,0.39971449,30.64,6.055,7.005,
17,Itaipu reservoir,5,-25.057,-54.409,reservoir,1156.44,4,1.454296903,monthly,monthly,,measured,,0,101.6248439,24,101.6248439,,0,,0,,,0,,0,,0,,,,,
1001; 1002; 1003; 1005; 1006; 1031; 1098; 1105; 1106; 1112; 1113; 1124; 1141; 1160; 1165; 1184; 1218; 1224; 201; 267; 268; 328,Lake Tai; Lake Tai-1; Lake Tai-10; Lake Tai-2; Lake Tai-3; Lake Tai-4; Lake Tai-5; Lake Tai-6; Lake Tai-7; Lake Tai-8; Lake Tai-9; Lake Tai-East bay; Lake Tai-Hangjiahu; Lake Tai-Huxi; Lake Tai-Meiliang; Lake Tai-Open lake; Lake Tai-Wuchengxiyu; Lake Tai-Wuli; Lake Tai-Yangchengdianmao; Lake Tai-Zhexi; Lake Taihu; Lake Taihu CL; Lake Taihu GH; Lake Taihu MLW; Lake Taihu NWL; Lake Taihu SWL; Taihu,6,31.2329434,120.2003698,lake,2329.14,4,1.5067096,HF,daily,indirect,measured,32.36508405,82,11.12795315,94,11.12795315,0.207498037,134,1.348935523,163,1.348935523,2.767813835,17,,0,,0,,17.84895833,7.936,8.244508197,
1038; 1069; 1071; 1088; 1123; 1141; 1159; 1193; 1224,Poyang Lake; Poyang Lake-Duchang; Poyang Lake-Nanjishan; Poyang Lake-Wucheng; Poyang Lake-Xingzi,7,29.134614,116.179037,lake,2398.32,4,1.37659269,fortnightly,fortnightly,direct,measured,28.77327625,9,31.76293283,11,31.76293283,0.190261538,13,0.767995642,97,0.767995642,,0,,0,,0,,22.97714286,6.855555556,6.923076923,
168,Tonle Sap Lake,8,12.75633,104.163652,lake,2415.98,2,1.055835788,seasonal,seasonal,direct,modelled,540.9779096,2,240,2,240,0.008648032,2,,0,0.005807973,,0,,0,,0,,,,,
292,Albert,9,1.622,30.884,lake,5526.92,2,1.296646296,seasonal,annual,direct,modelled,14.53925108,1,1.1,1,1.1,0.073,1,0.056320187,1,0.056320187,,0,0.0082,1,0.001518768,1,0.001518768,28.5,,,
169; 292; 311,Edward; L. Edward Littoral; L. Edward Pelagic; L. Edward littoral,10,-0.252096,29.836704,lake,2241.98,2,1.135300019,monthly,monthly,direct,modelled,18.3772123,73,1.8,1,1.8,0.444370667,75,0.106972246,1,0.106972246,,0,0.00738274,73,0.001116444,1,0.001116444,26.70739726,8.025522388,,878.8611111
118; 217; 218; 290; 292; 46; 49,"Ishungu Basin, Lake Kivu; Kibuye Basin, Lake Kivu; Lake Kivu; Lake Kivu Station 1; Lake Kivu Station 10; Lake Kivu Station 11; Lake Kivu Station 12; Lake Kivu Station 13; Lake Kivu Station 14; Lake Kivu Station 15; Lake Kivu Station 16; Lake Kivu Station 17; Lake Kivu Station 18; Lake Kivu Station 19; Lake Kivu Station 20; Lake Kivu Station 21; Lake Kivu Station 22; Lake Kivu Station 23; Lake Kivu Station 24; Lake Kivu Station 25; Lake Kivu Station 26; Lake Kivu Station 27; Lake Kivu Station 28; Lake Kivu Station 29; Lake Kivu Station 30; Lake Kivu Station 53; Lake Kivu Station 54; Lake Kivu Station 55; Lake Kivu Station 56; Lake Kivu Station 57; Lake Kivu Station 58; Lake Kivu Station 59; Lake Kivu Station 60; Lake Kivu Station 61; Lake Kivu Station 62; Lake Kivu Station 63; Lake Kivu Station 64; Lake Kivu Station 65; Lake Kivu Station 7; Lake Kivu Station 8; Lake Kivu Station 9; Lake Kivu: Northern Basin of Gisenyi",11,-2.106690556,29.05741433,lake,2400.88,2,1.277810792,monthly,monthly,direct,measured,50.78865038,60,13.764,5,13.764,4.714425473,85,0.1864,22,0.1864,,0,0.007103043,23,0.000638,20,0.000638,24.09707059,8.590149167,8.886875,1216.327869
292; 45,Mai Ndombe; Mai-Ndombe Lake,12,-2.375805,18.2742,lake,2316.21,1,0.98032129,seasonal,annual,direct,modelled,94.31618839,2,60.2,1,60.2,0.25,2,0.177266165,1,0.177266165,,0,0.022,1,0.0121,1,0.0121,30.3,,,
54; 77,Lake Kariba - close to dam wall - artificial reservoir - surface; Lake Kariba: Charara Bay; Lake Kariba: Charara River; Lake Kariba: Gache Gache Bay; Lake Kariba: Gache Gache River; Lake Kariba: Lufua River,13,-16.62972308,28.78652615,reservoir,5276.89,3,1.457749567,seasonal,seasonal,direct,measured,24.8288166,4,,0,10.47942656,,0,40.10286783,4,40.10286783,33.42394015,5,,0,,0,,,,,
102,Lake Apopka,14,28.617,-81.633,lake,123.31,4,1.48771533,seasonal,seasonal,direct,undefined,6.248098836,9,,0,-14.11530667,,0,,0,,,0,,0,,0,,24.03333333,,9.017777778,
214,"Itaparica hydropower reservoir, deep bay; Itaparica hydropower reservoir, littoral bay; Itaparica hydropower reservoir, main-stream",15,-8.817274,-38.417239,reservoir,687.51,3,1.266801289,seasonal,annual,direct,measured,74.66666667,3,239.3084117,3,239.3084117,5.333333333,3,10.13792912,3,10.13792912,0.022201871,3,,0,,0,,,6.7,7.566666667,
158; 215,Serra da Mesa; Serra da Mesa hydroelectric reservoir,16,-13.93731986,-48.31243043,reservoir,922.61,2,1.053863738,seasonal,seasonal,,measured,,0,154.1506,7,154.1506,,0,0.825552767,7,0.825552767,,0,,0,,0,,29.68,,7.51,
158,Trs Marias,17,-18.219825,-45.263104,reservoir,799.76,2,0.936649955,seasonal,seasonal,,measured,,0,58.21517775,4,58.21517775,,0,0.617767047,4,0.617767047,,0,,0,,0,,,,,
215,Itumbiara hydroelectric reservoir,18,-18.319979,-48.950345,reservoir,333.17,2,1.14282949,seasonal,seasonal,,measured,,0,116.314767,3,116.314767,,0,1.192795493,3,1.192795493,,0,,0,,0,,27.05333333,,7.025,
212; 216,Mascarenhas de Moraes hydroelectric reservoir; Peixoto Reservoir,19,-20.27555557,-47.05666667,reservoir,250.1,2,1.129640791,seasonal,seasonal,direct,modelled,151.9217557,3,13,1,13,0.068890274,2,,0,0.075773478,,0,,0,,0,,22.52,8.33,,
