Ref,Site,day,month,year,time,measurement_frequency,reported_frequency,Latitude,Longitude,CatchmentArea_km2,StreamOrder,Slope,Climate,Temp_C,DO_mgL,pH,Cond_uScm,humanFootprint_BasAt,soilOrganicCarbon_BasAt,airTemperature_BasAt,rainfall_BasAt,runoff_BasAt,groundwaterDepth_BasAt,NPP_Modis,peatlandCover_Modis,seasonality_FengIndex,CO2_uM,DirectIndirect_CO2,CH4_uM,N2O_uM,FluxMethod,F_CO2_mmol_m2_d,F_CH4_diff_mmol_m2_d,F_CH4_eb_mmol_m2_d,F_N2O_mmol_m2_d,DOC_uM,DIC_uM,k600_md
135,Zhuxi River,15,7,2016,NaT,seasonal,seasonal,28.173621,105.185484,96.48540497,4,0.008553921,4,NaN,NaN,8.26,NaN,117,17,16,1037,568,514,686.1493827,0,0.09599653,39.97788904,indirect,NaN,NaN,modelled-empirical,141.6,NaN,NaN,NaN,390.4753976,NaN,6.468
135,Zhuxi River,5,11,2017,NaT,seasonal,seasonal,28.173621,105.185484,96.48540497,4,0.008553921,4,NaN,NaN,NaN,NaN,117,17,16,1037,568,514,686.1493827,0,0.09599653,40.90657894,indirect,NaN,NaN,modelled-empirical,184.1,NaN,NaN,NaN,NaN,NaN,7.74
135,Zhuxi River,30,3,2018,NaT,seasonal,seasonal,28.173621,105.185484,96.48540497,4,0.008553921,4,NaN,NaN,NaN,NaN,117,17,16,1037,568,514,686.1493827,0,0.09599653,139.6130483,indirect,NaN,NaN,modelled-empirical,987.9,NaN,NaN,NaN,NaN,NaN,8.6928
136,XJH1,19,5,2016,9:21:00 AM,single,single,31.407595,109.508899,111.339653,4,0.00866,4,15.58,8.09,8.27,266.8,128,25,14.8,1109,643,810,587.2181615,0,0.093551166,44.26349044,indirect,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,90.7501457,NaN,NaN
136,XJH2,19,5,2016,10:25:00 AM,single,single,31.397027,109.51386,81.35595703,3,0.00866,4,18.294,8.36,8.06,353.1,128,25,14.8,1109,643,810,587.2181615,0,0.093551166,72.15379009,indirect,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,130.7135126,NaN,NaN
136,XJH3,19,5,2016,11:00:00 AM,single,single,31.405864,109.523986,199.5348511,4,0.00869,4,18.138,8.12,8.29,347.2,135,24,14.9,1098,641,647,587.2181615,0,0.086774795,42.32746419,indirect,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,144.8672051,NaN,NaN
136,XJH4,19,5,2016,11:42:00 AM,single,single,31.402894,109.552094,215.5644684,4,0.020277,4,18.275,7.87,8.39,349,135,24,14.9,1098,641,647,587.2181615,0,0.086774795,33.4055285,indirect,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,109.899259,NaN,NaN
136,HXH1,19,5,2016,3:20:00 PM,single,single,31.463167,109.354102,195.9881592,4,0.039106,4,14.326,8.91,8.58,151.5,72,47,11.2,1253,627,1015,508.6604973,0,0.101648422,15.8794597,indirect,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,95.74556656,NaN,NaN
136,HXH2,19,5,2016,4:00:00 PM,single,single,31.47216,109.437667,304.5919495,4,0.007392634,4,14.136,8.63,8.53,159.1,72,47,11.2,1253,627,1015,507.7568266,0,0.101648422,17.32068536,indirect,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,59.11248023,NaN,NaN
136,HXH3,19,5,2016,4:32:00 PM,single,single,31.465174,109.502533,362.2973328,4,0.007392634,4,14.473,8.61,8.53,162.9,71,46,11.6,1228,623,1222,490.5490566,0,0.094362582,17.2029791,indirect,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,55.78219965,NaN,NaN
