Ref	Site name	day	month	year	time	measurement_frequency	reported_frequency	run_on_river	Latitude	Longitude	Climate	Slope	Watershed Area	River width	CO2	CO2_units	CO2_method_cat	CH4	CH4_units	N2O	N2O_units	F_method_cat	F_CO2	F_CO2_units	FCH4_diff_avg_val	F_CH4_units	FCH4_ebb_avg_val	F_CH4_ebb_units	FN2O_avg_val	FN2O_UNITS	Strahler order	Discharge_mean	Discharge_mean_units	Velocity	Velocity_units	Temperature	DO	DO_units	pH	Conductivity	DOC_value	DOC_units	DIC_value	DIC_units	k	k600	k_units	Comments
135	Zhuxi River	15	7	2016		seasonal	seasonal	NO	28.173621	105.185484	11		349	21	904	µatm	indirect				text	modelled-empirical	141.6	mmol/m2/d						text									8.26		4.69	mg/L				26.95	cm/h	
135	Zhuxi River 	5	11	2017		seasonal	seasonal	NO	28.173621	105.185484	11		349	21	925	µatm	indirect					modelled-empirical	184.1	mmol/m2/d								3	m3/s													32.25	cm/h	
135	Zhuxi River 	30	3	2018		seasonal	seasonal	NO	28.173621	105.185484	11		349	21	3157	µatm	indirect					modelled-empirical	987.9	mmol/m2/d								6	m3/s													36.22	cm/h	
136	XJH1 	19	5	2016	9:21:00 AM	single	single	NO	31.407595	109.508899	11			18	987.8632813	µatm	indirect																	0.5	m/s 	15.58	8.09	mg L-1	8.27	266.8	1.09	mg/L						
136	XJH2 	19	5	2016	10:25:00 AM	single	single	NO	31.397027	109.51386	11			10	1750.138184	µatm	indirect																	0.55	m/s 	18.294	8.36	mg L-1	8.06	353.1	1.57	mg/L						
136	XJH3 	19	5	2016	11:00:00 AM	single	single	NO	31.405864	109.523986	11			20	1021.876221	µatm	indirect																	0.3	m/s 	18.138	8.12	mg L-1	8.29	347.2	1.74	mg/L						
136	XJH4 	19	5	2016	11:42:00 AM	single	single	NO	31.402894	109.552094	11			20	809.8110352	µatm	indirect																	0.5	m/s 	18.275	7.87	mg L-1	8.39	349	1.32	mg/L						
136	HXH1 	19	5	2016	3:20:00 PM	single	single	NO	31.463167	109.354102	11			44	340.6048584	µatm	indirect																	0.8	m/s 	14.326	8.91	mg L-1	8.58	151.5	1.15	mg/L						
136	HXH2 	19	5	2016	4:00:00 PM	single	single	NO	31.47216	109.437667	11			14	369.2656555	µatm	indirect																	1	m/s 	14.136	8.63	mg L-1	8.53	159.1	0.71	mg/L						
136	HXH3 	19	5	2016	4:32:00 PM	single	single	NO	31.465174	109.502533	11			14	370.7292786	µatm	indirect																	1	m/s 	14.473	8.61	mg L-1	8.53	162.9	0.67	mg/L						
136	HXH4 	19	5	2016	5:07:00 PM	single	single	NO	31.462659	109.613385	11			28	382.0606384	µatm	indirect																	0.8	m/s 	15.177	8.51	mg L-1	8.55	211.7	1.28	mg/L						
136	DNH1 	19	5	2016	5:32:00 PM	single	single	NO	31.52531	109.62104	11			33	373.3292847	µatm	indirect																		m/s 	15.221	8.48	mg L-1	8.56	220.4								
136	DXH2 	20	5	2016	10:55:00 AM	single	single	NO	31.670627	109.612675	11			14	445.3933105	µatm	indirect																	0.4	m/s 	15.106	8.49	mg L-1	8.55	226.3	1.21	mg/L						
136	DXH3 	20	5	2016	11:20:00 AM	single	single	NO	31.649299	109.661731	11			12	385.6376343	µatm	indirect																	0.5	m/s 	14.55	8.51	mg L-1	8.62	222.6	0.89	mg/L						
136	DXH4 	20	5	2016	11:54:00 AM	single	single	NO	31.6342	109.6697	11			30	400.6255188	µatm	indirect																	0.5	m/s 	16.153	8.12	mg L-1	8.6	241	1.2	mg/L						
136	DXH5 	20	5	2016	2:09:00 PM	single	single	NO	31.604679	109.675645	11			13	300.3246155	µatm	indirect																	1	m/s 	16.389	8.57	mg L-1	8.71	242.2	0.98	mg/L						
136	DXH6 	20	5	2016	2:40:00 PM	single	single	NO	31.572822	109.653395	11			24	309.2652283	µatm	indirect																	0.3	m/s 	16.417	8.66	mg L-1	8.71	238.5	1.34	mg/L						
136	DNH2 	20	5	2016	3:03:00 PM	single	single	NO	31.46694444	109.6358333	11			40	387.1516418	µatm	indirect																	1.2	m/s 	14.886	9.07	mg L-1	8.62	189.4	0.66	mg/L						
136	DNH3 	20	5	2016	3:35:00 PM	single	single	NO	31.438185	109.635825	11			30	261.9254761	µatm	indirect																	0.5	m/s 	16.689	9.16	mg L-1	8.73	193.5	0.97	mg/L						
136	XXH1 	20	5	2016	4:23:00 PM	single	single	NO	31.537015	109.617884	11			30	286.0693054	µatm	indirect																	1	m/s 	14.772	9.4	mg L-1	8.67	176.2	1.02	mg/L						
136	DXH7 	20	5	2016	4:53:00 PM	single	single	NO	31.535879	109.611077	11			30	356.9639282	µatm	indirect																	2	m/s 	15.984	8.78	mg L-1	8.61	228.9	0.99	mg/L						
136	DXH8 	20	5	2016	6:15:00 PM	single	single	NO	31.66333333	109.6708333	11			13	488.9686279	µatm	indirect																	0.2	m/s 	15.84	8.2	mg L-1	8.56	279.1	1.19	mg/L						
136	XXH2 	21	5	2016	10:18:00 AM	single	single	NO	31.662353	109.168555	11			12	413.18927	µatm	indirect																	0.6	m/s 	11.671	8.84	mg L-1	8.54	131.5	0.95	mg/L						
136	XXH3 	21	5	2016	10:57:00 AM	single	single	NO	31.636679	109.199636	11			4	249.3491364	µatm	indirect																	0.2	m/s 	15.278	8.22	mg L-1	8.73	239.1	0.78	mg/L						
136	XXH4 	21	5	2016	11:11:00 AM	single	single	NO	31.629607	109.238171	11			19	309.1137695	µatm	indirect																	0.2	m/s 	13.934	8.85	mg L-1	8.71	187.7	1.62	mg/L						
136	XXH5 	21	5	2016	1:15:00 PM	single	single	NO	31.61994	109.075088	11			11	419.0103149	µatm	indirect																	0.6	m/s 	13.93	8.24	mg L-1	8.57	187.6	0.87	mg/L						
136	XXH6 	21	5	2016	1:47:00 PM	single	single	NO	31.602193	109.132842	11			12	487.1559753	µatm	indirect																	0.4	m/s 	12.688	8.82	mg L-1	8.5	135.8	0.33	mg/L						
