Refs,Site,Latitude,Longitude,Elevation_m,CatchmentArea_km2,StreamOrder,Slope,Climate,k600_md,MeasFreq,ReportedFreq,DirectIndirect_CO2,FluxMethod,Discharge_m3s,Velocity_ms,CO2_uM,n_CO2,F_CO2_mmol_m2_d,n_FCO2,F_CO2_measmod_mmol_m2_d,CH4_uM,n_CH4,F_CH4_diff_mmol_m2_d,n_FCH4diff,F_CH4_measmod_mmol_m2_d,F_CH4_eb_mmol_m2_d,n_FCH4eb,N2O_uM,n_N2O,F_N2O_mmol_m2_d,n_FN2O,F_N2O_measmod_mmol_m2_d,Temp_C,DO_mgL,pH,Cond_uScm,DOC_uM,DIC_uM
1087; 253,Area I; Chongqing-14; Chongqing-15,29.57725492,106.8386468,148.75,773468.2656,10,0.001359116,4,6.283627671,seasonal,annual,indirect,modelled,15760.9869,1.104209993,81.27495331,4,166.9454839,4,166.9454839,0.20396713,4,0.350610836,4,0.350610836,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1037; 1085; 1101; 1171; 1194; 1208; 148; 253; 298,Area II; Area V; CQ; Chongqing; Cuntan; Daxigou; Guojiatuo; Lijiatuo; Tangjiatuo; Yangtze River at CQ,29.563201,106.5842177,157.3448276,811718.9483,10,0.000130448,4,2.43063215,monthly,seasonal,indirect,measured,16166.6239,1.108009215,94.9818651,16,245.6844665,12,245.6844665,0.406844353,17,0.910026786,18,0.910026786,NaN,0,NaN,0,NaN,0,NaN,20.4364,8.028333333,7.9461875,NaN,195.3318625,47677.09433
1087; 253,Area III; Chongqing-39,29.3198265,106.381009,172.5,634359.3125,10,0.000202,4,2.638449623,seasonal,annual,indirect,modelled,12793.39557,1.077659908,40.96321482,2,92.46717592,2,92.46717592,0.589146773,2,1.282170606,2,1.282170606,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
253,Area IV,29.680251,106.476219,164.5,158886.9219,9,0.000312,4,2.825691658,seasonal,annual,indirect,modelled,3096.022034,0.908956373,84.44232351,2,423.2876712,2,423.2876712,0.3112905,2,0.553715,2,0.553715,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13; 27,Solimoes river mainstem 1 (Solimoes/Madeira basin); Solimes river mainstem 1 (Solimoes/Madeira basin),-2.69254,-66.91,42,1148659.75,10,5.00E-05,1,2.201804321,seasonal,seasonal,direct,measured,53615.77727,1.279861461,65.36614787,4,260,4,260,0.113333333,3,0.68,3,0.68,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,7.2,96,316.3766547,NaN
13; 27,Solimoes river mainstem 1 (Solimoes/Madeira basin); Solimes river mainstem 2  (Solimoes/Madeira basin),-2.5,-65.84,35,1009071,10,5.00E-05,1,2.20353151,seasonal,seasonal,direct,measured,58011.34332,1.292020486,89.28830556,4,373.25,4,373.25,0.123333333,3,2.0875,4,2.0875,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,7.05,94,416.285072,NaN
13; 27,Solimoes river mainstem 1 (Solimoes/Madeira basin); Solimes river mainstem 3  (Solimoes/Madeira basin),-3.46,-64.46,24,1270186.625,10,5.00E-05,1,2.198826286,seasonal,seasonal,direct,measured,46721.73024,1.25889677,81.55862189,4,262.25,4,262.25,0.143333333,3,0.55,3,0.55,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,6.95,76,299.7252519,NaN
13; 165; 27,Amazon-Itapeua; Solimoes river mainstem 1 (Solimoes/Madeira basin); Solimes river mainstem 4  (Solimoes/Madeira basin),-4.023070444,-62.99367144,20,1157458.125,10,2.90E-05,1,2.121408365,seasonal,seasonal,direct,measured,38354.38041,1.229435207,84.42220671,5,239.25,4,239.25,0.02825,4,0.413333333,3,0.413333333,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,6.906,78,312.7133461,663
13; 27,Solimoes river mainstem 1 (Solimoes/Madeira basin); Solimes river mainstem 5  (Solimoes/Madeira basin),-3.810252,-61.632785,12,1320865.75,10,5.00E-05,1,2.20361033,seasonal,seasonal,direct,measured,58219.28566,1.292575363,86.82914007,4,527.75,4,527.75,0.04,3,0.185,2,0.185,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,6.75,65,333.0280576,NaN
13; 165; 211; 27; 4; 45; 83,Amazon River - Manacapuru; Amazon River - average of 11 mainstem sites; Amazon River basin; Amazon-Manacapuru; Manacapuru; Solimoes river mainstem 1 (Solimoes/Madeira basin); Solimes river mainstem 6  (Solimoes/Madeira basin),-3.324155895,-60.57317011,7,1596786.48,10,0.000331211,1,3.240928211,seasonal,seasonal,direct,measured,60102.28159,1.297522102,173.2284262,15,487.2901863,5,487.2901863,0.029142857,7,0.261763756,3,0.261763756,NaN,0,0.004,1,0.019555503,1,0.019555503,28.95,NaN,6.72,38,333.8606278,689
13; 27; 45,Amazon River basin; Amazonas  (Solimoes/Madeira basin),-3.240258889,-58.97061444,7,2110810.75,11,2.59E-05,1,2.117710068,seasonal,seasonal,direct,measured,72890.43971,1.32790901,103.9142748,5,569,4,569,0.2004,5,1.383333333,3,1.383333333,NaN,0,NaN,0,NaN,0,NaN,31.2,NaN,6.55,46,507.8677879,NaN
13; 27,Juta  (Solimoes/Madeira basin; Juta  (Solimoes/Madeira basin),-2.84,-66.93,42,59406.75391,8,5.00E-05,1,2.147421153,seasonal,seasonal,direct,measured,2772.917991,0.897016212,86.67865339,4,173.5,4,173.5,2.92,4,79.485,4,79.485,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,6.3,11.15,374.6565648,NaN
13; 165; 27,Juru  (Solimoes/Madeira basin); Juru-Mouth,-2.699781556,-65.79590122,36,177646.1424,9,0.0001,1,2.317320716,seasonal,seasonal,direct,measured,10021.32443,1.046535429,119.404359,5,241.75,4,241.75,0.09575,4,0.2875,4,0.2875,NaN,0,NaN,0,NaN,0,NaN,24.6,NaN,6.882,74,391.3079677,767
13; 27,Japur  (Solimoes/Madeira basin),-2.04,-65.21,33,241008.4844,9,0.000317,1,3.012203579,seasonal,seasonal,direct,measured,15376.36576,1.101717615,65.88525542,4,289,4,289,0.1575,4,5.975,4,5.975,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,6.3,16,374.6565648,NaN
13; 27; 8; 83,Purus  (Solimoes/Madeira basin); Purus -  Lower Purus-center; Purus -  Lower Purus-left; R. Purus,-3.861691818,-61.38635782,11,325905.2188,9,5.00E-05,1,1.872,seasonal,seasonal,direct,measured,14333.79435,1.0924742,208.0716552,7,602.908,6,602.908,0.075,4,0.4,3,0.4,NaN,0,NaN,0,NaN,0,NaN,28.55,NaN,6.38,38,358.0051619,525
