site	ref	group_idx	latitude	longitude	lake_type	climate_class	surface_area_km2	mean_depth_m	hylak_id	hylak_lake_name	hylak_lake_area	hylak_vol_total	hylak_depth_avg
Palmar	334	24	-33.122525	-57.250311	reservoir	14	320	8.9	967		220.93	2854	12.9
Bonete	334	23	-32.688379	-56.017988	reservoir	14	1070	8.2	966	Negro Reservoir	718.48	8800	12.2
Lago Polegar pond	160	238	-32.077975	-52.168565	lake	14	0.01						
Lago dos Bigus pond	160	240	-32.07367	-52.165375	lake	14	0.01						
Little Nerang Dam	173	239	-28.152689	153.282732	reservoir	14	0.5		1420906		0.1	0.67	7
Peri Lake	243	131	-27.733	-48.5167	lake	14	5.07		121126		4.93	115.05	23.3
Gold Creek reservoir s3	237	238	-27.461103	152.878446	reservoir	14			1420129		0.14	0.85	6
Gold Creek reservoir d8	237	238	-27.460808	152.881632	reservoir	14			1420129		0.14	0.85	6
Gold Creek reservoir d7	237	238	-27.459989	152.87901	reservoir	14			1420129		0.14	0.85	6
Gold Creek reservoir s2	237	238	-27.45955	152.875654	reservoir	14			1420129		0.14	0.85	6
Gold Creek reservoir d6	237	238	-27.458931	152.876903	reservoir	14			1420129		0.14	0.85	6
Gold Creek reservoir s4	237	238	-27.458225	152.87909	reservoir	14			1420129		0.14	0.85	6
Gold Creek reservoir d5	237	238	-27.457947	152.874433	reservoir	14			1420129		0.14	0.85	6
Gold Creek reservoir s1	237	238	-27.456575	152.875031	reservoir	14			1420129		0.14	0.85	6
lake Wivenhoe	173	53	-27.331024	152.568873	reservoir	14	109.4		1660	Wivenhoe	102.82	1150	11.2
Lake Baroon	173	188	-26.709353	152.876136	reservoir	14	4		183381		3.26	61	18.7
Passana reservoir	159	130	-25.522995	-49.387959	reservoir	15	85		120969		6.71	59	8.8
Passauna (P3)	326	130	-25.521608	-49.388385	reservoir	15	8.5	8.3	120969		6.71	59	8.8
Passauna (P2)	326	130	-25.512574	-49.370579	reservoir	15	8.5	8.3	120969		6.71	59	8.8
Passana reservoir	159	130	-25.511908	-49.370275	reservoir	15	85		120969		6.71	59	8.8
Passauna (P4)	326	130	-25.507845	-49.381809	reservoir	15	8.5	8.3	120969		6.71	59	8.8
Passauna (P1)	326	130	-25.485363	-49.381735	reservoir	15	8.5	8.3	120969		6.71	59	8.8
Passana reservoir	159	130	-25.485346	-49.381069	reservoir	15	85		120969		6.71	59	8.8
Itaipu reservoir	17	5	-25.057	-54.409	reservoir	14	1350		82	Itaipu	1156.44	29000	25.1
S1 dry; S1 wet	151	64	-23.761048	-46.485653	reservoir	15	7.4		10364	Billings Reservoir	99.72	1229	12.3
S3 dry and wet	151	64	-23.73	-46.44	reservoir	15	7.4		10364	Billings Reservoir	99.72	1229	12.3
Rio Grande reservoir - eutrophic stations	37	64	-23.725375	-46.439026	reservoir	15			10364	Billings Reservoir	99.72	1229	12.3
Guarapiranga	331	63	-23.723181	-46.73316	reservoir	15	33	5.7	10363		23.64	194	8.2
