group_idx_manual,lake_area_km2,vol_total_Mm3,depth_avg_m,method
243,0.35,,,ref 161
251,516,3958,11.5,ref 39
340,69.6,4800,,ref 213
355,250,,,
358,14.8,,,manual delineation
360,8.05,,,manual delineation
361,0.0235,,,
362,450,2650,,
369,0.01,,,manual delineation
370,0.04,,,manual delineation
373,0.06,,,ref 7
374,0.0067,,,ref 1000
375,0.124,,,ref 1000
376,0.03,0.26,,ref 304
378,3.9,32,4.6,ref 1120
388,4.4,120,54,ref 1000
394,0.25,,4.2,ref 1000
402,3,,18,ref 1191
403,0.046,,,manual delineation
404,0.18,,,ref 1000
405,0.004,,,ref 1000
406,85,2730,92.7,ref 1109
407,1.72,880,41,ref 1064
408,5.2,,,ref 286
409,51.54,3245,,ref 1107
410,15.05,510,,ref 1092
412,80.5,4950,60,ref 1041
413,5.7,200,21,ref 1100
414,38.4,1210,9,ref 1154
415,31.25,,2.3,ref 1191
416,133.65,12670,87,ref 1152
418,3.28,,,manual delineation
421,95.6,5160,,ref 1152
422,1,,9.8,ref 1191
423,0.34,1.13,24.7,manual delineation
424,1.2,,,ref 1191
426,11.4,320,4,ref 1154
429,2579,,5.5,ref 1008
454,0.16,,,ref 1132
466,7.13,4580,,ref 1019
479,0.5,,18.9,ref 1191
488,0.82,0.042,,manual delineation
489,0.056,,,ref 1141
499,0.059,,,manual delineation
238,0.01,,,ref/manual delineation
240,0.01,,,ref/manual delineation
246,0.015,,,ref/manual delineation
248,0.0115,,,ref/manual delineation
250,0.002,,,ref/manual delineation
281,0.018,,,ref/manual delineation
282,0.08,,,ref/manual delineation
283,0.055,,,ref/manual delineation
288,0.9,,,ref/manual delineation
341,0.02,,,ref/manual delineation
342,0.07,,,ref/manual delineation
343,0.9,,,ref/manual delineation
344,0.0008,,,ref/manual delineation
345,0.009,,,ref/manual delineation
346,0.005,,,ref/manual delineation
347,0.0006,,,ref/manual delineation
348,0.0003,,,ref/manual delineation
349,0.2,,,ref/manual delineation
350,0.05,,,ref/manual delineation
351,0.06,,,ref/manual delineation
352,0.13,,,ref/manual delineation
353,0.16,,,ref/manual delineation
354,0.13,,,ref/manual delineation
356,0.000001,,,ref/manual delineation
357,0.05,,,ref/manual delineation
368,22,,,ref/manual delineation
371,0.00002,,,ref/manual delineation
372,0.085,,,ref/manual delineation
377,0.0045,,,ref/manual delineation
379,0.00055,,,ref/manual delineation
381,0.0009,,,ref/manual delineation
382,0.0004,,,ref/manual delineation
383,0.022,,,ref/manual delineation
384,0.0006,,,ref/manual delineation
385,0.0065,,,ref/manual delineation
386,0.0004,,,ref/manual delineation
387,0.0025,,,ref/manual delineation
390,0.0037,,,ref/manual delineation
391,0.00075,,,ref/manual delineation
392,0.003,,,ref/manual delineation
393,0.0003,,,ref/manual delineation
400,0.01,,,ref/manual delineation
401,0.09,,,ref/manual delineation
411,0.15,,,ref/manual delineation
417,0.012,,,ref/manual delineation
419,0.00074,,,ref/manual delineation
420,0.0023,,,ref/manual delineation
425,0.04,,,ref/manual delineation
428,0.09,,,ref/manual delineation
432,0.06,,,ref/manual delineation
434,0.05,,,ref/manual delineation
435,0.25,,,ref/manual delineation
436,0.2,,,ref/manual delineation
437,0.18,,,ref/manual delineation
438,0.049,,,ref/manual delineation
439,0.03,,,ref/manual delineation
440,0.009,,,ref/manual delineation
441,0.09,,,ref/manual delineation
442,0.079,,,ref/manual delineation
443,0.019,,,ref/manual delineation
444,0.09,,,ref/manual delineation
445,0.005,,,ref/manual delineation
446,0.003,,,ref/manual delineation
447,0.028,,,ref/manual delineation
448,0.023,,,ref/manual delineation
449,0.036,,,ref/manual delineation
450,0.02,,,ref/manual delineation
451,0.15,,,ref/manual delineation
452,0.13,,,ref/manual delineation
453,0.02,,,ref/manual delineation
456,0.006,,,ref/manual delineation
457,0.08,,,ref/manual delineation
458,4.9,,,ref/manual delineation
80,0.18,,,ref/manual delineation
459,0.03,,,ref/manual delineation
460,0.048,,,ref/manual delineation
461,0.008,,,ref/manual delineation
462,0.007,,,ref/manual delineation
463,0.016,,,ref/manual delineation
464,0.036,,,ref/manual delineation
465,0.03,,,ref/manual delineation
468,0.00133,,,ref/manual delineation
469,0.082,,,ref/manual delineation
470,0.004,,,ref/manual delineation
471,0.012,,,ref/manual delineation
472,0.0025,,,ref/manual delineation
473,0.0045,,,ref/manual delineation
486,0.000488,,,ref/manual delineation
501,0.015,,,ref/manual delineation
490,0.02,,,ref/manual delineation
491,0.009,,,ref/manual delineation
492,0.065,,,ref/manual delineation
493,0.0085,,,ref/manual delineation
494,0.015,,,ref/manual delineation
495,0.015,,,ref/manual delineation
496,0.126,,,ref/manual delineation
497,0.006,,,ref/manual delineation
498,0.006,,,ref/manual delineation
