lake_ID,wind_worldclim
0,2.358
1,2.142
2,2
3,1.2
4,1.583
5,2.45
6,2.492
7,2.175
8,1.375
9,1.9
10,1.583
11,1.933
12,1.183
13,2.283
14,2.85
15,2.033
16,1.442
17,1.133
18,1.775
19,1.767
20,1.592
21,2.325
22,2.117
23,3.375
24,3.117
25,2.475
26,1.858
27,2.475
28,2.55
29,3.033
30,1.308
31,1.933
32,2.05
33,2.225
34,2.008
35,2.4
35,2.367
36,2.183
37,1.758
38,2.025
39,1.983
40,1.325
41,1.758
42,2.008
43,1.35
44,1.95
45,1.308
46,1.725
47,1.908
48,2.108
49,1.033
50,2.933
51,2.417
52,2.058
53,3.008
54,1.892
55,1.483
56,1.317
57,0.967
58,1.3
59,1.708
60,1.775
61,2.242
62,1.55
63,2.025
64,2.367
65,1.183
66,2.567
67,2.775
68,1.875
70,2.408
71,2.333
72,1.867
73,2.083
74,1.792
75,1.242
76,1.167
77,2.117
78,2.375
79,2.175
80,1.3
81,1.283
82,2.192
83,2.492
84,1.95
85,2.175
86,1.692
87,2.017
88,2.208
89,2.008
90,1.633
91,2.425
92,1.633
93,1.6
94,1.775
95,2.008
96,1.617
97,1.758
98,1.933
99,1.917
100,1.925
101,1.975
102,1.119
103,1.308
104,1.983
105,1.967
106,1.733
107,2.45
108,1.975
109,1.975
110,2.383
111,1.282
112,1.254
113,2.008
114,0.958
115,2.675
116,2.608
117,2.575
117,2.575
118,2.25
119,2.35
120,2.058
121,2.783
122,2.483
123,3.333
124,2.883
125,2.808
126,2.017
127,1.317
128,1.567
129,3.1
130,1.692
131,3.267
132,2.617
133,2.575
134,2.6
135,2.567
136,2.483
137,2.525
138,1.942
139,1.958
140,2.142
141,3.283
142,2.2
143,1.225
144,1.325
145,1.275
146,1.258
148,3.392
149,2.283
150,2.242
151,1.492
152,2.808
153,2.358
154,2.017
155,1.767
156,2.4
157,2.35
158,1.858
159,2.85
160,2.783
161,2.85
162,2.308
163,2.25
164,2
165,2.083
166,2.758
167,2.333
168,2.283
169,1.9
170,2.567
171,4.667
173,3.392
174,1.417
175,2.025
176,2.25
177,2.267
178,1.875
179,1.967
180,3.042
181,1.067
182,2.117
183,2.033
184,1.875
185,1.825
186,1.775
187,1.858
188,3.025
189,2.55
190,3.358
191,3.558
192,3.733
193,3.283
194,3.392
195,1.942
196,2.192
197,2.2
198,1.125
199,2.542
199,2.555
200,2.792
201,2.817
202,2.875
203,2.833
204,1.908
205,1.924
206,1.225
207,1.275
208,1.325
209,1.325
210,1.3
211,1.3
212,3.317
213,1.3
214,1.858
215,1.917
216,2.808
217,2.15
218,2.083
219,3.817
220,2.233
221,2.533
222,2.858
223,1.225
224,1.658
225,2.075
226,2.075
227,1.892
228,1.958
229,2.033
230,2.058
231,2.058
232,2.067
233,2.033
234,1.95
235,2.308
236,1.925
237,2.508
238,3.392
238,3.725
239,3.442
240,3.758
243,3.183
246,1.3
247,2.2
248,2.225
250,1.983
251,1.467
279,3.833
280,4.158
281,3.842
282,3.825
283,3.633
285,3.083
286,3.2
287,3.2
288,2.525
339,0.975
340,1.225
341,2.867
342,2.825
343,2.842
344,2.483
345,1.9
346,1.917
347,1.917
348,1.783
349,2.075
350,2.25
351,2.292
352,2.508
353,2.575
354,2.55
355,2.55
356,1.7
357,1.492
358,2.1
360,2.017
361,2.392
362,1.517
368,2.117
369,2.225
370,2.158
371,1.942
372,2.175
373,2.917
374,5.025
375,3.892
376,3.467
377,1.567
378,2.867
379,2.808
380,2.533
381,2.267
382,5.4
383,5.533
384,2.542
385,3.475
386,4.567
387,4.8
388,3.05
390,4.983
391,4.95
392,4.95
393,4.95
394,5.067
395,4.192
397,3.242
399,3.367
400,3.167
401,3.7
402,2.017
403,2.992
404,2.808
405,2.925
406,1.492
407,1.867
408,3.825
409,1.383
410,1.367
411,1.692
412,1.633
413,1.683
414,1.508
415,2.358
416,1.175
417,1.95
418,1.358
419,1.917
420,1.933
421,1.283
422,2.067
423,1.675
424,2.875
425,1.483
426,1.517
428,1.3
429,2.067
430,1.417
432,1.342
433,2.033
434,1.35
435,1.325
436,1.35
437,1.55
438,1.358
439,1.433
440,1.342
441,1.358
442,1.358
443,1.367
444,1.308
445,1.367
446,1.367
447,1.367
448,1.375
449,1.367
450,1.383
451,1.275
452,1.4
453,1.375
454,1.375
456,1.342
457,1.317
458,1.325
459,3.433
460,3.317
461,3.45
462,3.867
463,3.85
464,3.675
465,3.892
466,1.85
468,1.175
469,1.258
470,1.9
471,1.892
472,1.933
473,1.908
479,3.117
486,1.383
488,1.942
489,2.617
490,2.575
491,2.55
492,2.567
493,2.55
494,2.558
495,2.533
496,2.642
497,2.619
498,2.533
499,2.6
501,2.583
