Reference,Authors,Title,Journal,Year,DOI,Database
1,"D. S. Abe, C. Sidagis-Galli, T. M. Tundisi, J. E. M. Tundisi, D. E. Grimberg, G. R. Medeiros, V. Teixeira-Silva and J. G. Tundisi","The effect of eutrophication on greenhouse gas emissions in three reservoirs of the Middle Tiete River, southeastern Brazil",Internationale Vereinigung für Theoretische und Angewandte Limnologie: Verhandlungen,2009,10.1080/03680770.2009.11902248,Lakes
3,"G. Abril, F. Guérin, S. Richard, R. Delmas, C. Galy-Lacaux, P. Gosse, A. Tremblay, L. Varfalvy, M. A. Dos Santos, B. Matvienko, F. Guerin, S. Richard, R. Delmas, C. Galy-Lacaux, P. Gosse, A. Tremblay, L. Varfalvy, M. A. Dos Santos and B. Matvienko","Carbon dioxide and methane emissions and the carbon budget of a 10-year old tropical reservoir (Petit Saut, French Guiana)",GLOBAL BIOGEOCHEMICAL CYCLES,2005,10.1029/2005GB002457,Lakes
4,"G. Abril, J. M. Martinez, L. F. Artigas, P. Moreira-Turcq, M. F. Benedetti, L. Vidal, T. Meziane, J. H. Kim, M. C. Bernardes, N. Savoye, J. Deborde, E. L. Souza, P. Albéric, M. F. Landim De Souza and F. Roland",Amazon River carbon dioxide outgassing fuelled by wetlands,NATURE,2014,10.1038/nature12797,Rivers; Lakes
5,"G. Abril, S. Richard and F. Guerin",In situ measurements of dissolved gases (CO2 and CH4) in a wide range of concentrations in a tropical reservoir using an equilibrator,SCIENCE OF THE TOTAL ENVIRONMENT,2006,10.1016/j.scitotenv.2004.12.051,Rivers; Lakes
6,D. D. Adams and G. M. Simiyu,Greenhouse gas (methane and carbon dioxide) emissions from a tropical river in Kenya: the importance of anthropogenic factors on natural gas flux rates,Internationale Vereinigung für Theoretische und Angewandte Limnologie: Verhandlungen,2009,10.1080/03680770.2009.11902264,Rivers
7,"T. Aguirrezabala-Campano, R. Gonzalez-Valencia, F. J. Cervantes and F. Thalasso",Overall spatiotemporal dynamics of greenhouse gasses and oxygen in two subtropical reservoirs with contrasting trophic states,WATER RESEARCH,2021,10.1016/j.watres.2021.117056,Lakes
8,"S. R. Alin, M. D. F. F. L. Rasera, C. I. Salimon, J. E. Richey, G. W. Holtgrieve, A. V. Krusche and A. Snidvongs",Physical controls on carbon dioxide transfer velocity and flux in low-gradient river systems and implications for regional carbon budgets,Journal of Geophysical Research: Biogeosciences,2011,10.1029/2010JG001398,Rivers
9,"R. M. Almeida, F. S. Pacheco, N. Barros, E. Rosi and F. Roland",Extreme floods increase CO2 outgassing from a large Amazonian river,LIMNOLOGY AND OCEANOGRAPHY,2017,10.1002/lno.10480,Rivers
10,P. C. Alvala and V. Kirchhoff,Methane fluxes from the Pantanal floodplain in Brazil: Seasonal variation,"Non-CO2 Greenhouse Gases: Scientific Understanding, Control and Implementation ",2000,10.1007/978-94-015-9343-4_6,Wetlands
11,P. C. Alvala and L. Marani,"Environmental Parameters Influencing the Methane Emissions in the Pantanal Floodplain, Brazil",Climate Change and Crops,2009,10.1007/978-3-540-88246-6_7,Lakes
12,"J. H. F. Amaral, A. V. Borges, J. M. Melack, H. Sarmento, P. M. Barbosa, D. Kasper, M. L. de Melo, D. De Fex-Wolf, J. S. da Silva and B. R. Forsberg",Influence of plankton metabolism and mixing depth on CO2 dynamics in an Amazon floodplain lake,SCIENCE OF THE TOTAL ENVIRONMENT,2018,10.1016/j.scitotenv.2018.02.331,Lakes
13,"J. H. F. Amaral, V. F. Farjalla, J. M. Melack, D. Kasper, V. Scofield, P. M. Barbosa and B. R. Forsberg",Seasonal and spatial variability of CO2 in aquatic environments of the central lowland Amazon basin,BIOGEOCHEMISTRY,2019,10.1007/s10533-019-00554-9,Rivers; Lakes
14,"J. H. F. Amaral, J. M. Melack, P. M. Barbosa, A. V. Borges, D. Kasper, A. C. Cortes, W. C. Zhou, S. MacIntyre and B. R. Forsberg","Inundation, Hydrodynamics and Vegetation Influence Carbon Dioxide Concentrations in Amazon Floodplain Lakes",ECOSYSTEMS,2021,10.1007/s10021-021-00692-y,Lakes
15,"J. H. F. Amaral, J. M. Melack, P. M. Barbosa, S. MacIntyre, D. Kasper, A. Cortés, T. S. F. Silva, R. Nunes de Sousa and B. R. Forsberg",Carbon Dioxide Fluxes to the Atmosphere From Waters Within Flooded Forests in the Amazon Basin,Journal of Geophysical Research: Biogeosciences,2020,10.1029/2019JG005293,Wetlands
16,"L. F. Andrews, P. D. Wadnerkar, S. A. White, X. Chen, R. E. Correa, L. C. Jeffrey and I. R. Santos","Hydrological, geochemical and land use drivers of greenhouse gas dynamics in eleven sub-tropical streams",AQUATIC SCIENCES,2021,10.1007/s00027-021-00791-x,Rivers
17,"F. A. S. Armani, N. L. Dias and J. M. Damazio","Eddy-covariance CO2 fluxes over Itaipu lake, southern Brazil",RBRH-REVISTA BRASILEIRA DE RECURSOS HIDRICOS,2020,10.1590/2318-0331.252020200060,Lakes
18,"M. L. Atkins, I. R. Santos and D. T. Maher","Seasonal exports and drivers of dissolved inorganic and organic carbon, carbon dioxide, methane and _13C signatures in a subtropical river network",SCIENCE OF THE TOTAL ENVIRONMENT,2017,10.1016/j.scitotenv.2016.09.020,Rivers
19,"K. Attermeyer, S. Flury, R. Jayakumar, P. Fiener, K. Steger, V. Arya, F. Wilken, R. van Geldern and K. Premke",Invasive floating macrophytes reduce greenhouse gas emissions from a small tropical lake,SCIENTIFIC REPORTS,2016,10.1038/srep20424,Lakes
20,"C. M. Balagizi, F. Darchambeau, S. Bouillon, M. M. Yalire, T. Lambert and A. V. Borges","River geochemistry, chemical weathering, and atmospheric CO2 consumption rates in the Virunga Volcanic Province (East Africa)","Geochemistry, Geophysics, Geosystems",2015,10.1002/2015GC005999,Rivers
21,"M. V. Ballester, L. A. Martinelli, A. V. Krusche, R. L. Victoria, M. Bernardes and P. B. Camargo","Effects of increasing organic matter loading on the dissolved O-2, free dissolved CO2 and respiration rates in the Piracicaba River basin, southeast Brazil",WATER RESEARCH,1999,10.1016/S0043-1354(98)00438-2,Rivers
22,"H. Bange, C. Hock Sim, D. Bastian, J. Kallert, A. Kock, A. Mujahid and M. Müller",Nitrous oxide (n2o) and methane (ch4) in rivers and estuaries of northwestern borneo,BIOGEOSCIENCES,2019,10.5194/bg-16-4321-2019,Rivers
23,"S. Bansal, M. Chakraborty, D. Katyal and J. K. Garg","METHANE FLUX FROM A SUBTROPICAL RESERVOIR LOCATED IN THE FLOODPLAINS OF RIVER YAMUNA, INDIA",APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2015,10.15666/aeer/1302_597613,Lakes
24,"P. M. Barbosa, V. F. Farjalla, J. M. Melack, J. H. F. Amaral, J. S. da Silva and B. R. Forsberg",High rates of methane oxidation in an Amazon floodplain lake,BIOGEOCHEMISTRY,2018,10.1007/s10533-018-0425-2,Lakes
25,"P. M. Barbosa, J. M. Melack, J. H. F. Amaral, A. Linkhorst and B. R. Forsberg",Large Seasonal and Habitat Differences in Methane Ebullition on the Amazon Floodplain,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2021,10.1029/2020JG005911,Lakes
26,"P. M. Barbosa, J. M. Melack, J. H. F. F. Amaral, S. MacIntyre, D. Kasper, A. Cortés, V. F. Farjalla, B. R. Forsberg, A. Cortes, V. F. Farjalla and B. R. Forsberg",Dissolved methane concentrations and fluxes to the atmosphere from a tropical floodplain lake,BIOGEOCHEMISTRY,2020,10.1007/s10533-020-00650-1,Lakes
27,"P. M. Barbosa, J. M. Melack, V. F. Farjalla, J. H. F. Amaral, V. Scofield and B. R. Forsberg","Diffusive methane fluxes from Negro, Solimões and Madeira rivers and fringing lakes in the Amazon basin",LIMNOLOGY AND OCEANOGRAPHY,2016,10.1002/lno.10358,Rivers; Lakes
28,K. E. Barrera and L. L. Robbins,Historical patterns of acidification and increasing CO2 flux associated with Florida springs,LIMNOLOGY AND OCEANOGRAPHY,2017,10.1002/lno.10573,Rivers
