site_numeric,continent,COMID,lengthkm,slope_grades,upstream_area_grades,order_grades,NextDownID,distance_snapped,lat,lon,slope,q_jan,q_feb,q_mar,q_apr,q_may,q_jun,q_jul,q_aug,q_sep,q_oct,q_nov,q_dec,runoff_yr
77,Africa,18006648,17220.2,0.016817433,538682.2,1,22718,55.64954941,47.34111,-19.2945,0.016817433,2.387037754,2.535426855,1.976734161,0.955566823,0.384538233,0.181809425,0.158466816,0.137614161,0.136344239,0.291073143,0.569684863,1.301091433,2.157389023
79,Africa,18006393,13805.2,0.00241938,6205511,3,28658,23.83459262,47.76394,-19.11294,0.00241938,42.22427368,48.95796585,39.38251877,22.6727829,16.52013588,12.36849117,10.40443707,8.825759888,7.429661751,8.893792152,12.56671143,24.24544334,2.289002142
80,Africa,18006331,7527,0.004025521,1377321.9,2,30458,33.64175165,47.791563,-19.020337,0.004025521,7.815500736,8.897604942,7.049730301,4.243765354,3.232940197,2.489004612,2.025595903,1.635856986,1.339524865,1.659915566,2.362443686,4.517632961,2.289002142
81,Africa,18006331,7527,0.004025521,1377321.9,2,30458,21.11375675,47.79169,-19.0203,0.004025521,7.815500736,8.897604942,7.049730301,4.243765354,3.232940197,2.489004612,2.025595903,1.635856986,1.339524865,1.659915566,2.362443686,4.517632961,2.289002142
82,Africa,18005608,28752.7,0.004027448,1996254.9,2,36637,8.743073934,47.12425,-19.00397,0.004027448,8.2681036,9.079091072,6.820692539,3.45736742,1.492518067,0.716459036,0.560012758,0.471918494,0.466167599,1.118281364,2.08161664,4.472851276,2.157389023
83,Africa,18005535,8697.6,2.18E-04,10698436,3,40717,37.01384406,48.94561,-18.997,2.18E-04,116.061348,167.9323425,140.8954163,77.73574829,52.64221573,33.76218033,39.13611221,30.94772911,22.50264359,18.00805283,17.80297279,42.10854721,3.624794495
85,Africa,18006361,12588,0.01043056,657336.7,1,30098,23.4609858,48.61189,-18.98364,0.01043056,7.329345703,10.37480164,8.151147842,4.249601841,2.873454094,1.864160895,2.201725245,1.769465089,1.291399956,1.04821074,1.028574109,2.554913998,3.624794495
86,Africa,18005892,12047.6,0.004382612,1008061.8,2,25117,61.42831691,48.73497,-18.96756,0.004382612,11.2317915,15.90241909,12.51192379,6.525141239,4.407319069,2.859011173,3.376078367,2.714037418,1.982928514,1.607110739,1.576439142,3.907100439,3.624794495
87,Africa,18005957,9590.2,0.002669389,517744.1,1,23677,40.9905213,48.85289,-18.96092,0.002669389,5.763473511,8.565616608,7.69726181,4.786033154,3.347992897,2.360681534,2.629189491,2.086702585,1.548200011,1.182668805,1.106422186,2.225561619,3.624794495
88,Africa,18005719,33947.4,0.014831752,1675382.1,2,33277,25.01466398,47.883929,-18.953208,0.014831752,9.495538712,10.82587719,8.579040527,5.163522243,3.934462786,3.029959202,2.467148542,1.992462516,1.630186558,2.016153574,2.867118835,5.482468128,2.273225498
89,Africa,18005913,10774.6,0.001494254,561750.6,1,32077,17.50774092,48.416,-18.93975,0.001494254,5.884872913,8.022593498,5.921700478,2.924472094,2.070674658,1.359334111,1.504837871,1.27429235,0.938954175,0.783243239,0.859536707,2.220909357,2.717611237
90,Africa,18005683,2498.5,3.60E-04,1860396.2,2,32437,23.12900823,48.42258,-18.91189,3.60E-04,20.44848824,27.66189575,20.44581795,10.10661602,7.173807144,4.659405231,5.227065086,4.419948101,3.234544039,2.794999361,3.13705039,8.019335747,2.717611237
