site_numeric,longitude_reported,latitude_reported,longitude_snapped,latitude_snapped,distance_snapped,catchment_area_reported,River_width,catchment_area_snapped,catchment_area_h90m,order_h90,order_orig_coords,order_snapped_coords,slope_channel,elevation_m
47,-53.676936,-28.423005,-53.67708333,-28.42291667,17.45696207,1.1,2,0.609994411,0.609994411,2,2,2,0.036132,394
48,-48.566659,-27.781926,-48.56625,-27.78208333,43.92421414,NA,1.5,3.613406897,3.613406897,3,3,3,0,-1
52,-44.169184,-23.145808,-44.16958333,-23.14541667,59.73726585,NA,1.5,0.18197985,0.18197985,NA,NA,NA,0.119668,49
53,-44.168629,-23.14513,-44.16875,-23.14541667,34.23083495,NA,2,1.512067556,1.512067556,2,2,2,0.213565,46
54,-44.168408,-23.143699,-44.16791667,-23.14375,50.6126476,NA,2,1.779241562,0.01006607,2,NA,2,0.074802,18
57,-44.17029,-23.141984,-44.17041667,-23.14208333,17.04074101,NA,1.5,0.536460519,0.536460519,2,2,2,0.02435,7
58,-44.169193,-23.141765,-44.16958333,-23.14208333,53.40588401,NA,1.5,0.109843031,0.109843031,NA,NA,NA,0.02435,7
59,-44.168936,-23.141657,-44.16875,-23.14125,49.14495357,NA,1.5,0.720290363,0.720290363,2,2,2,0.009118,5
61,-44.168292,-23.140956,-44.16791667,-23.14125,50.47003226,NA,1.5,0.750235677,0.750235677,2,2,2,0.00864,4
62,-44.16747,-23.140628,-44.16708333,-23.14041667,46.04410299,NA,1.5,0.758776665,0.758776665,2,2,2,0.022779,3
70,-47.898179,-22.193672,-47.89791667,-22.19375,28.39917995,2.82,2,2.78222084,2.78222084,3,3,3,0.002169,717
74,-47.865267,-21.947192,-47.86541667,-21.94708333,19.62493112,0.63,1.5,0.686160624,0.686160624,1,1,1,0.028712,825
125,47.47943,-18.134824,47.47958333,-18.13458333,31.3189527,NA,2,2211.640137,2211.640137,7,7,7,0,826
163,145.684167,-16.817628,145.6845833,-16.81708333,75.12919238,1.6,1.5,1.145582914,0.030338833,2,NA,2,0.002328,32
233,-39.071332,-14.463493,-39.07125,-14.46291667,64.76313812,0.361,2,0.057529196,0.033067275,NA,NA,NA,0.143826,113
265,130.781805,-13.101777,130.7820833,-13.10208333,45.53616741,NA,1.5,3.584756851,3.584756851,3,3,3,0.020705,90
327,-62.36344,-10.751855,-62.36375,-10.75125,75.40041533,NA,2,0.499001056,0.008501404,1,NA,1,0.020594,263
333,-58.467698,-10.478047,-58.46708333,-10.47791667,68.82990513,0.009,0.5,0.33487013,0.011751521,2,NA,2,0.036894,269
334,-58.468216,-10.477439,-58.46791667,-10.47708333,51.39252594,0.019,1.487,0.180811986,0.180811986,1,1,1,0,277
452,39.40647,-4.27128,39.40625,-4.27125,24.6495445,NA,2,2.145031452,2.145031452,2,2,2,0.130245,229
538,18.03562,-3.37062,18.03625,-3.370416667,73.57810158,NA,2,128.7746124,0.01033827,5,NA,5,0,303
607,-47.280605,-3.120336,-47.28041667,-3.120416667,22.77876908,NA,2,0.055938069,0.055938069,NA,NA,NA,0.094393,104
697,-59.973213,-2.929197,-59.97291667,-2.929583333,54.17469617,NA,2,0.076956704,0.076956704,1,1,1,0.002168,69
