climate_class,order,runoff_mm,q_m3s,surface_area_km2,fraction_dry,length_km
1,0,NaN,NaN,46448.76255,0.016318761,NaN
1,1,1438.49096,2.535717176,14501.64009,0.016318761,1144346.57
1,2,1454.895668,11.33403471,13176.49975,0.016318761,574134.1721
1,3,1485.545541,55.82395687,15195.32294,0.016318761,305974.9592
1,4,1499.796985,235.9538447,16811.64392,0.016318761,163563.4198
1,5,1446.657055,1073.065558,18918.02969,0.016318761,82283.6181
1,6,1448.969267,3985.935378,12200.61172,0.016318761,25029.1199
1,7,1082.513375,14943.76767,12155.54804,0.016318761,11450.7744
1,8,697.7257755,30681.58882,8158.465809,0.016318761,5348.9046
1,9,1165.493115,184983.4892,4269.010798,0.016318761,1132.151
3,0,NaN,NaN,37856.65752,0.421724781,NaN
3,1,52.81953682,0.095493257,9823.181898,0.421724781,3833385.382
3,2,53.52350877,0.419797578,8575.599382,0.421724781,1974281.335
3,3,55.679352,1.977527628,8121.400526,0.421724781,986609.6115
3,4,62.34622318,9.486191695,7581.849461,0.421724781,458253.0304
3,5,65.78408366,45.66869116,7133.354387,0.421724781,202862.6131
3,6,87.51696946,315.8757335,7837.852188,0.421724781,87166.3522
3,7,134.3661968,1506.010869,4152.000932,0.421724781,21162.8611
3,8,179.9741391,10919.37646,3123.262273,0.421724781,7092.3954
5,0,NaN,NaN,7092.541203,0.119847749,NaN
5,1,538.7501458,0.941230446,2093.981835,0.119847749,280535.0269
5,2,513.0976679,3.808765366,1748.530467,0.119847749,132524.8692
5,3,472.1654886,15.57994881,1509.432221,0.119847749,59876.6776
5,4,440.2371383,60.19958038,1267.889271,0.119847749,25961.44
5,5,397.2653198,405.3702587,1101.388499,0.119847749,10759.0813
5,6,343.5245309,1108.313292,761.8477544,0.119847749,5011.7086
5,7,281.78159,2016.108241,122.3747309,0.119847749,552.246
4,0,NaN,NaN,19881.2163,0.078418809,NaN
4,1,550.4287897,0.980160713,5969.891801,0.078418809,777672.7089
4,2,552.1462638,4.382526998,5642.010114,0.078418809,409636.4398
4,3,550.8924228,19.84163601,6225.347914,0.078418809,215839.8908
4,4,545.2068161,87.24326965,7053.479305,0.078418809,107389.7478
4,5,546.5722393,431.0503411,7551.29546,0.078418809,52707.0449
4,6,433.2604813,1219.887507,5272.755816,0.078418809,22824.1104
4,7,475.6862018,6920.593667,3825.482113,0.078418809,6486.0882
4,8,420.8406964,19434.17937,5160.178004,0.078418809,4111.7227
4,9,231.8872954,21350.58656,948.6940719,0.078418809,1051.2519
2,0,NaN,NaN,42955.82835,0.16204841,NaN
2,1,428.2340084,0.769461104,11632.55748,0.16204841,1595616.309
2,2,433.7872343,3.525904877,10794.63767,0.16204841,828044.0887
2,3,439.6994908,16.74204562,11192.82666,0.16204841,427543.1533
2,4,476.8464725,81.59994972,13548.83461,0.16204841,232399.7578
2,5,469.1818536,326.2310374,12458.77415,0.16204841,108060.3834
2,6,507.3206473,1705.788924,12326.00869,0.16204841,45845.0519
2,7,574.7978371,6927.58607,11061.58132,0.16204841,17343.2255
2,8,331.9530868,11688.51067,4024.366554,0.16204841,4839.7616
2,9,803.875578,98143.30437,1524.174624,0.16204841,842.4815
